"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",220,114.8,2021,"Q2","Polio",""
"Chinatown/Lower East Side",10002,99,"10002","24 - 35 months",559,543.19,2021,"Q2","Polio",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",301,238.46,2021,"Q2","Polio",""
"Financial District",10004,99,"10004","24 - 35 months",66,40.79,2021,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",85,52.94,2021,"Q2","Polio",""
"Financial District",10006,99,"10006","24 - 35 months",45,22.41,2021,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",144,114.42,2021,"Q2","Polio",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,99,"10009","24 - 35 months",422,334.12,2021,"Q2","Polio",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",257,190.48,2021,"Q2","Polio",""
"Chelsea",10011,99,"10011","24 - 35 months",335,311.47,2021,"Q2","Polio",""
"Greenwich Village/SoHo",10012,99,"10012","24 - 35 months",132,126.37,2021,"Q2","Polio",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",306,276.97,2021,"Q2","Polio",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",167,161.23,2021,"Q2","Polio",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",452,335.43,2021,"Q2","Polio",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",133,84.4,2021,"Q2","Polio",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",79,45.06,2021,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",384,263.88,2021,"Q2","Polio",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",435,348.79,2021,"Q2","Polio",""
"East Midtown",10022,99,"10022","24 - 35 months",303,220.45,2021,"Q2","Polio",""
"Lincoln Square",10023,99,"10023","24 - 35 months",697,634.32,2021,"Q2","Polio",""
"Upper West Side",10024,99,"10024","24 - 35 months",624,596.44,2021,"Q2","Polio",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,99,"10025","24 - 35 months",777,734.58,2021,"Q2","Polio",""
