DATE_CREATED,AGE_GROUP,DOB_RANGE,VACCINE_GROUP,DOSES,YEAR_COVERAGE,QUARTER,BOROUGH,MODZCTA,LABEL,NEIGHBORHOOD_NAME,POP_DENOMINATOR_YEAR,POP_DENOMINATOR,COUNT_PEOPLE_VAC,PERC_VAC
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10001,"10001, 10118",Chelsea/NoMad/West Chelsea,2025 Vintage Estimates for 2024,115.7,127,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10002,10002,Chinatown/Lower East Side,2025 Vintage Estimates for 2024,491.86,226,46
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10003,10003,East Village/Gramercy/Greenwich Village,2025 Vintage Estimates for 2024,214.44,174,81
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10004,10004,Financial District,2025 Vintage Estimates for 2024,30.46,31,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10005,10005,Financial District,2025 Vintage Estimates for 2024,49.62,52,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10006,10006,Financial District,2025 Vintage Estimates for 2024,23.33,37,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10007,10007,TriBeCa,2025 Vintage Estimates for 2024,111.64,90,81
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10009,10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,2025 Vintage Estimates for 2024,317.15,207,65
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10010,10010,Flatiron/Gramercy/Kips Bay,2025 Vintage Estimates for 2024,169.73,160,94
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10011,10011,Chelsea,2025 Vintage Estimates for 2024,278.7,178,64
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10012,10012,Greenwich Village/SoHo,2025 Vintage Estimates for 2024,118.55,98,83
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10013,10013,Hudson Square/Little Italy/SoHo/TriBeCa,2025 Vintage Estimates for 2024,235.44,183,78
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10014,10014,Hudson Square/Meatpacking District/West Village,2025 Vintage Estimates for 2024,148.51,141,95
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10016,10016,Kips Bay/Murray Hill/NoMad,2025 Vintage Estimates for 2024,295.89,256,87
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10017,10017,East Midtown/Murray Hill,2025 Vintage Estimates for 2024,78.48,81,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10018,10018,Hell's Kitchen/Midtown Manhattan,2025 Vintage Estimates for 2024,41.27,36,87
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10019,"10019, 10020",Hell's Kitchen/Midtown Manhattan,2025 Vintage Estimates for 2024,249.17,230,92
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10021,10021,Lenox Hill/Upper East Side,2025 Vintage Estimates for 2024,308.41,300,97
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10022,10022,East Midtown,2025 Vintage Estimates for 2024,211.42,190,90
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10023,10023,Lincoln Square,2025 Vintage Estimates for 2024,595.97,400,67
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10024,10024,Upper West Side,2025 Vintage Estimates for 2024,547.69,432,79
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10025,10025,Manhattan Valley/Morningside Heights/Upper West Side,2025 Vintage Estimates for 2024,664.55,485,73
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10026,10026,Central Harlem (South),2025 Vintage Estimates for 2024,383.09,186,49
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10027,10027,Central Harlem (South)/Morningside Heights/West Harlem,2025 Vintage Estimates for 2024,570.32,298,52
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10028,10028,Upper East Side/Yorkville,2025 Vintage Estimates for 2024,318.85,282,88
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10029,10029,East Harlem,2025 Vintage Estimates for 2024,740.35,424,57
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10030,10030,Central Harlem (North),2025 Vintage Estimates for 2024,351.61,125,36
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10031,10031,Hamilton Heights/West Harlem,2025 Vintage Estimates for 2024,515.97,282,55
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10032,10032,Washington Heights (South),2025 Vintage Estimates for 2024,479.52,273,57
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10033,10033,Washington Heights (North)/Washington Heights (South),2025 Vintage Estimates for 2024,502.22,299,60
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10034,10034,Inwood/Washington Heights (North),2025 Vintage Estimates for 2024,362.58,213,59
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10035,10035,East Harlem,2025 Vintage Estimates for 2024,381.29,187,49
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10036,10036,Hell's Kitchen/Midtown Manhattan,2025 Vintage Estimates for 2024,155.62,131,84
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10037,10037,Central Harlem (North)/East Harlem,2025 Vintage Estimates for 2024,167.34,106,63
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10038,10038,Chinatown/Financial District,2025 Vintage Estimates for 2024,137.2,82,60
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10039,10039,Central Harlem (North)/Washington Heights (South),2025 Vintage Estimates for 2024,348.79,156,45
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10040,10040,Washington Heights (North),2025 Vintage Estimates for 2024,386.85,229,59
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10044,10044,Roosevelt Island,2025 Vintage Estimates for 2024,97.48,103,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10065,10065,Lenox Hill/Upper East Side,2025 Vintage Estimates for 2024,246.14,309,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10069,10069,Lincoln Square,2025 Vintage Estimates for 2024,61.58,65,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10075,"10075, 10162",Lenox Hill/Upper East Side,2025 Vintage Estimates for 2024,180.1,187,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10128,10128,Upper East Side/Yorkville,2025 Vintage Estimates for 2024,443.68,379,85
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10280,10280,Battery Park City,2025 Vintage Estimates for 2024,134.74,45,33
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Manhattan,10282,10282,Battery Park City,2025 Vintage Estimates for 2024,116.84,73,62
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10301,10301,Silver Lake/St. George,2025 Vintage Estimates for 2024,390.6,250,64
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10302,10302,Elm Park,2025 Vintage Estimates for 2024,244,133,55
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10303,10303,Graniteville/Mariner's Harbor/Port Ivory,2025 Vintage Estimates for 2024,319.1,163,51
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10304,10304,New Dorp/Todt Hill,2025 Vintage Estimates for 2024,474.05,235,50
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10305,10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,2025 Vintage Estimates for 2024,417.59,240,57
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10306,10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,2025 Vintage Estimates for 2024,554.92,250,45
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10307,10307,Tottenville,2025 Vintage Estimates for 2024,141.45,47,33
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10308,10308,Great Kills,2025 Vintage Estimates for 2024,282.9,125,44
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Staten Island,10309,10309,Charleston/Prince's Bay/Woodrow,2025 Vintage Estimates for 2024,349.71,126,36
