"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",103,104.1,2023,"Q2",4313314,""
"Chinatown/Lower East Side",10002,57,"10002","24 - 35 months",273,479.54,2023,"Q2",4313314,""
"East Village/Gramercy/Greenwich Village",10003,73,"10003","24 - 35 months",157,214.48,2023,"Q2",4313314,""
"Financial District",10004,61,"10004","24 - 35 months",22,36.15,2023,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,78,"10005","24 - 35 months",37,47.51,2023,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",37,20.25,2023,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,67,"10007","24 - 35 months",69,103.37,2023,"Q2",4313314,""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,57,"10009","24 - 35 months",174,306.78,2023,"Q2",4313314,""
"Flatiron/Gramercy/Kips Bay",10010,88,"10010","24 - 35 months",151,171.38,2023,"Q2",4313314,""
"Chelsea",10011,72,"10011","24 - 35 months",205,284.31,2023,"Q2",4313314,""
"Greenwich Village/SoHo",10012,68,"10012","24 - 35 months",77,113.85,2023,"Q2",4313314,""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,86,"10013","24 - 35 months",212,247.54,2023,"Q2",4313314,""
"Hudson Square/Meatpacking District/West Village",10014,68,"10014","24 - 35 months",100,147.55,2023,"Q2",4313314,""
"Kips Bay/Murray Hill/NoMad",10016,90,"10016","24 - 35 months",269,299.62,2023,"Q2",4313314,""
"East Midtown/Murray Hill",10017,87,"10017","24 - 35 months",65,74.86,2023,"Q2",4313314,""
"Hell's Kitchen/Midtown Manhattan",10018,63,"10018","24 - 35 months",25,39.98,2023,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
