"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months","4:3:1:3:3:1:4",127,115.7,2026,"Q2",4313314,""
"Chinatown/Lower East Side",10002,46,"10002","24 - 35 months","4:3:1:3:3:1:4",226,491.86,2026,"Q2",4313314,""
"East Village/Gramercy/Greenwich Village",10003,81,"10003","24 - 35 months","4:3:1:3:3:1:4",174,214.44,2026,"Q2",4313314,""
"Financial District",10004,99,"10004","24 - 35 months","4:3:1:3:3:1:4",31,30.46,2026,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months","4:3:1:3:3:1:4",52,49.62,2026,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months","4:3:1:3:3:1:4",37,23.33,2026,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,81,"10007","24 - 35 months","4:3:1:3:3:1:4",90,111.64,2026,"Q2",4313314,""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,65,"10009","24 - 35 months","4:3:1:3:3:1:4",207,317.15,2026,"Q2",4313314,""
"Flatiron/Gramercy/Kips Bay",10010,94,"10010","24 - 35 months","4:3:1:3:3:1:4",160,169.73,2026,"Q2",4313314,""
"Chelsea",10011,64,"10011","24 - 35 months","4:3:1:3:3:1:4",178,278.7,2026,"Q2",4313314,""
"Greenwich Village/SoHo",10012,83,"10012","24 - 35 months","4:3:1:3:3:1:4",98,118.55,2026,"Q2",4313314,""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,78,"10013","24 - 35 months","4:3:1:3:3:1:4",183,235.44,2026,"Q2",4313314,""
"Hudson Square/Meatpacking District/West Village",10014,95,"10014","24 - 35 months","4:3:1:3:3:1:4",141,148.51,2026,"Q2",4313314,""
"Kips Bay/Murray Hill/NoMad",10016,87,"10016","24 - 35 months","4:3:1:3:3:1:4",256,295.89,2026,"Q2",4313314,""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months","4:3:1:3:3:1:4",81,78.48,2026,"Q2",4313314,""
"Hell's Kitchen/Midtown Manhattan",10018,87,"10018","24 - 35 months","4:3:1:3:3:1:4",36,41.27,2026,"Q2",4313314,"Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,92,"10019, 10020","24 - 35 months","4:3:1:3:3:1:4",230,249.17,2026,"Q2",4313314,""
"Lenox Hill/Upper East Side",10021,97,"10021","24 - 35 months","4:3:1:3:3:1:4",300,308.41,2026,"Q2",4313314,""
"East Midtown",10022,90,"10022","24 - 35 months","4:3:1:3:3:1:4",190,211.42,2026,"Q2",4313314,""
"Lincoln Square",10023,67,"10023","24 - 35 months","4:3:1:3:3:1:4",400,595.97,2026,"Q2",4313314,""
"Upper West Side",10024,79,"10024","24 - 35 months","4:3:1:3:3:1:4",432,547.69,2026,"Q2",4313314,""
