"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",4,160,115.7,2024,"Q4","DTaP",""
"Chinatown/Lower East Side",10002,69,"10002","24 - 35 months",4,341,491.86,2024,"Q4","DTaP",""
"East Village/Gramercy/Greenwich Village",10003,83,"10003","24 - 35 months",4,179,214.44,2024,"Q4","DTaP",""
"Financial District",10004,99,"10004","24 - 35 months",4,47,30.46,2024,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",4,73,49.62,2024,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",4,34,23.33,2024,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,95,"10007","24 - 35 months",4,106,111.64,2024,"Q4","DTaP",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,82,"10009","24 - 35 months",4,260,317.15,2024,"Q4","DTaP",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",4,192,169.73,2024,"Q4","DTaP",""
"Chelsea",10011,74,"10011","24 - 35 months",4,207,278.7,2024,"Q4","DTaP",""
"Greenwich Village/SoHo",10012,74,"10012","24 - 35 months",4,88,118.55,2024,"Q4","DTaP",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,97,"10013","24 - 35 months",4,228,235.44,2024,"Q4","DTaP",""
"Hudson Square/Meatpacking District/West Village",10014,85,"10014","24 - 35 months",4,126,148.51,2024,"Q4","DTaP",""
"Kips Bay/Murray Hill/NoMad",10016,97,"10016","24 - 35 months",4,288,295.89,2024,"Q4","DTaP",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",4,126,78.48,2024,"Q4","DTaP",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",4,42,41.27,2024,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",4,290,249.17,2024,"Q4","DTaP",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",4,314,308.41,2024,"Q4","DTaP",""
"East Midtown",10022,99,"10022","24 - 35 months",4,224,211.42,2024,"Q4","DTaP",""
"Lincoln Square",10023,78,"10023","24 - 35 months",4,465,595.97,2024,"Q4","DTaP",""
"Upper West Side",10024,82,"10024","24 - 35 months",4,447,547.69,2024,"Q4","DTaP",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,88,"10025","24 - 35 months",4,583,664.55,2024,"Q4","DTaP",""
"Central Harlem (South)",10026,63,"10026","24 - 35 months",4,241,383.09,2024,"Q4","DTaP",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,67,"10027","24 - 35 months",4,382,570.32,2024,"Q4","DTaP",""
"Upper East Side/Yorkville",10028,98,"10028","24 - 35 months",4,312,318.85,2024,"Q4","DTaP",""
"East Harlem",10029,82,"10029","24 - 35 months",4,605,740.35,2024,"Q4","DTaP",""
"Central Harlem (North)",10030,54,"10030","24 - 35 months",4,190,351.61,2024,"Q4","DTaP",""
"Hamilton Heights/West Harlem",10031,69,"10031","24 - 35 months",4,355,515.97,2024,"Q4","DTaP",""
"Washington Heights (South)",10032,77,"10032","24 - 35 months",4,369,479.52,2024,"Q4","DTaP",""
"Washington Heights (North)/Washington Heights (South)",10033,78,"10033","24 - 35 months",4,391,502.22,2024,"Q4","DTaP",""
"Inwood/Washington Heights (North)",10034,83,"10034","24 - 35 months",4,301,362.58,2024,"Q4","DTaP",""
"East Harlem",10035,60,"10035","24 - 35 months",4,228,381.29,2024,"Q4","DTaP",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",4,165,155.62,2024,"Q4","DTaP",""
"Central Harlem (North)/East Harlem",10037,97,"10037","24 - 35 months",4,163,167.34,2024,"Q4","DTaP",""
"Chinatown/Financial District",10038,87,"10038","24 - 35 months",4,120,137.2,2024,"Q4","DTaP",""
"Central Harlem (North)/Washington Heights (South)",10039,44,"10039","24 - 35 months",4,152,348.79,2024,"Q4","DTaP",""
"Washington Heights (North)",10040,77,"10040","24 - 35 months",4,299,386.85,2024,"Q4","DTaP",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",4,116,97.48,2024,"Q4","DTaP",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",4,276,246.14,2024,"Q4","DTaP",""
"Lincoln Square",10069,99,"10069","24 - 35 months",4,80,61.58,2024,"Q4","DTaP",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",4,216,180.1,2024,"Q4","DTaP",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",4,440,443.68,2024,"Q4","DTaP",""
"Battery Park City",10280,49,"10280","24 - 35 months",4,66,134.74,2024,"Q4","DTaP",""
"Battery Park City",10282,90,"10282","24 - 35 months",4,105,116.84,2024,"Q4","DTaP",""
"Silver Lake/St. George",10301,80,"10301","24 - 35 months",4,312,390.6,2024,"Q4","DTaP",""
"Elm Park",10302,81,"10302","24 - 35 months",4,197,244,2024,"Q4","DTaP",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,65,"10303","24 - 35 months",4,208,319.1,2024,"Q4","DTaP",""
"New Dorp/Todt Hill",10304,65,"10304","24 - 35 months",4,310,474.05,2024,"Q4","DTaP",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,74,"10305","24 - 35 months",4,311,417.59,2024,"Q4","DTaP",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,68,"10306","24 - 35 months",4,379,554.92,2024,"Q4","DTaP",""
"Tottenville",10307,59,"10307","24 - 35 months",4,83,141.45,2024,"Q4","DTaP",""
"Great Kills",10308,71,"10308","24 - 35 months",4,202,282.9,2024,"Q4","DTaP",""
"Charleston/Prince's Bay/Woodrow",10309,58,"10309","24 - 35 months",4,202,349.71,2024,"Q4","DTaP",""
"Port Richmond/Randall Manor/West Brighton",10310,79,"10310","24 - 35 months",4,236,298.22,2024,"Q4","DTaP",""
"Annadale/Rossville",10312,64,"10312","24 - 35 months",4,377,589.56,2024,"Q4","DTaP",""
"Bloomfield/Freshkills Park",10314,71,"10314","24 - 35 months",4,648,917.08,2024,"Q4","DTaP",""
"Concourse/Melrose",10451,88,"10451","24 - 35 months",4,506,574.64,2024,"Q4","DTaP",""
"Concourse/Highbridge",10452,74,"10452","24 - 35 months",4,767,1041.22,2024,"Q4","DTaP",""
"Morris Heights/Mount Hope/University Heights",10453,76,"10453","24 - 35 months",4,803,1049.75,2024,"Q4","DTaP",""
"Mott Haven/Port Morris",10454,73,"10454","24 - 35 months",4,381,525.43,2024,"Q4","DTaP",""
"Mott Haven",10455,88,"10455","24 - 35 months",4,474,540.21,2024,"Q4","DTaP",""
"Claremont/Morrisania",10456,77,"10456","24 - 35 months",4,893,1159.8,2024,"Q4","DTaP",""
"Belmont/Claremont/Mount Hope/Tremont",10457,75,"10457","24 - 35 months",4,820,1098.88,2024,"Q4","DTaP",""
"Belmont/Fordham University/Kingsbridge",10458,75,"10458","24 - 35 months",4,774,1033.11,2024,"Q4","DTaP",""
"Charlotte Gardens/Hunts Point",10459,71,"10459","24 - 35 months",4,489,693.52,2024,"Q4","DTaP",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,81,"10460","24 - 35 months",4,652,808.7,2024,"Q4","DTaP",""
"Morris Park/Pelham Bay/Westchester Square",10461,86,"10461","24 - 35 months",4,490,570.05,2024,"Q4","DTaP",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,97,"10462","24 - 35 months",4,862,892.77,2024,"Q4","DTaP",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,82,"10463","24 - 35 months",4,626,759.09,2024,"Q4","DTaP",""
"City Island",10464,99,"10464","24 - 35 months",4,66,32.86,2024,"Q4","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Country Club/Throgs Neck",10465,75,"10465","24 - 35 months",4,358,479.09,2024,"Q4","DTaP",""
"Edenwald/Wakefield",10466,74,"10466","24 - 35 months",4,572,778.12,2024,"Q4","DTaP",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,85,"10467","24 - 35 months",4,1003,1180.74,2024,"Q4","DTaP",""
"Fordham/Kingsbridge/University Heights",10468,73,"10468","24 - 35 months",4,757,1034.37,2024,"Q4","DTaP",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,74,"10469","24 - 35 months",4,538,730.06,2024,"Q4","DTaP",""
"Wakefield/Woodlawn",10470,87,"10470","24 - 35 months",4,152,173.9,2024,"Q4","DTaP",""
"Fieldston/North Riverdale/Riverdale",10471,75,"10471","24 - 35 months",4,175,232.23,2024,"Q4","DTaP",""
"Soundview",10472,98,"10472","24 - 35 months",4,776,791.42,2024,"Q4","DTaP",""
"Castle Hill/Clason Point/Soundview",10473,84,"10473","24 - 35 months",4,466,556.92,2024,"Q4","DTaP",""
"Hunts Point",10474,92,"10474","24 - 35 months",4,141,154.08,2024,"Q4","DTaP",""
"Co-op City/Edenwald",10475,92,"10475","24 - 35 months",4,267,289.89,2024,"Q4","DTaP",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","24 - 35 months",4,214,148.48,2024,"Q4","DTaP",""
"Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","24 - 35 months",4,630,367.72,2024,"Q4","DTaP",""
"Astoria (North)",11102,99,"11102","24 - 35 months",4,266,227.58,2024,"Q4","DTaP",""
"Astoria (North)/Astoria (South)",11103,82,"11103","24 - 35 months",4,223,271.42,2024,"Q4","DTaP",""
"Sunnyside",11104,86,"11104","24 - 35 months",4,208,242.43,2024,"Q4","DTaP",""
"Ditmars Steinway",11105,81,"11105","24 - 35 months",4,240,295.83,2024,"Q4","DTaP",""
"Astoria (South)",11106,90,"11106","24 - 35 months",4,296,327.25,2024,"Q4","DTaP",""
"Long Island City",11109,99,"11109","24 - 35 months",4,99,70.88,2024,"Q4","DTaP",""
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,99,"11201","24 - 35 months",4,787,747.89,2024,"Q4","DTaP",""
"East Flatbush (North)/East Flatbush (South)",11203,78,"11203","24 - 35 months",4,498,635.77,2024,"Q4","DTaP",""
"Bensonhurst/Mapleton",11204,65,"11204","24 - 35 months",4,722,1110.31,2024,"Q4","DTaP",""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,33,"11205","24 - 35 months",4,329,989.73,2024,"Q4","DTaP",""
"Williamsburg (South)",11206,33,"11206","24 - 35 months",4,477,1430.1,2024,"Q4","DTaP",""
"Cypress Hills/East New York",11207,75,"11207","24 - 35 months",4,796,1065.52,2024,"Q4","DTaP",""
"Cypress Hills/East New York",11208,77,"11208","24 - 35 months",4,915,1189.57,2024,"Q4","DTaP",""
"Bay Ridge/Fort Hamilton",11209,78,"11209","24 - 35 months",4,546,699.46,2024,"Q4","DTaP",""
"Flatlands/Midwood",11210,79,"11210","24 - 35 months",4,537,675.7,2024,"Q4","DTaP",""
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,35,"11211, 11249","24 - 35 months",4,669,1907.34,2024,"Q4","DTaP",""
"Ocean Hill-Brownsville",11212,70,"11212","24 - 35 months",4,678,975.42,2024,"Q4","DTaP",""
"Crown Heights (East)",11213,46,"11213","24 - 35 months",4,429,928.38,2024,"Q4","DTaP",""
"Bath Beach/Bensonhurst/Gravesend",11214,87,"11214","24 - 35 months",4,775,889.02,2024,"Q4","DTaP",""
"Gowanus/Park Slope/Windsor Terrace",11215,88,"11215","24 - 35 months",4,745,845.78,2024,"Q4","DTaP",""
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,70,"11216","24 - 35 months",4,356,510.84,2024,"Q4","DTaP",""
"Boerum Hill/Park Slope",11217,88,"11217, 11243","24 - 35 months",4,403,459.14,2024,"Q4","DTaP",""
"Kensington/Windsor Terrace",11218,66,"11218","24 - 35 months",4,649,988.87,2024,"Q4","DTaP",""
"Borough Park",11219,41,"11219","24 - 35 months",4,855,2103.87,2024,"Q4","DTaP",""
"Sunset Park",11220,86,"11220","24 - 35 months",4,906,1057.51,2024,"Q4","DTaP",""
