"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",4,142,115.7,2026,"Q2","DTaP",""
"Chinatown/Lower East Side",10002,54,"10002","24 - 35 months",4,264,491.86,2026,"Q2","DTaP",""
"East Village/Gramercy/Greenwich Village",10003,90,"10003","24 - 35 months",4,194,214.44,2026,"Q2","DTaP",""
"Financial District",10004,99,"10004","24 - 35 months",4,39,30.46,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",4,69,49.62,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",4,40,23.33,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",4,114,111.64,2026,"Q2","DTaP",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,71,"10009","24 - 35 months",4,226,317.15,2026,"Q2","DTaP",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",4,174,169.73,2026,"Q2","DTaP",""
"Chelsea",10011,70,"10011","24 - 35 months",4,196,278.7,2026,"Q2","DTaP",""
"Greenwich Village/SoHo",10012,95,"10012","24 - 35 months",4,113,118.55,2026,"Q2","DTaP",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",4,233,235.44,2026,"Q2","DTaP",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",4,167,148.51,2026,"Q2","DTaP",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",4,302,295.89,2026,"Q2","DTaP",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",4,110,78.48,2026,"Q2","DTaP",""
