"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,37,"10001, 10118","13 - 17 years",223,601.44,"2021 - 22","Q4","Flu",
"Chinatown/Lower East Side",10002,56,"10002","13 - 17 years",1659,2967.22,"2021 - 22","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,43,"10003","13 - 17 years",402,927.59,"2021 - 22","Q4","Flu",
"Financial District",10004,85,"10004","13 - 17 years",73,85.63,"2021 - 22","Q4","Flu",
"Financial District",10005,64,"10005","13 - 17 years",52,80.68,"2021 - 22","Q4","Flu",
"Financial District",10006,71,"10006","13 - 17 years",39,55,"2021 - 22","Q4","Flu",
"TriBeCa",10007,92,"10007","13 - 17 years",180,196.7,"2021 - 22","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,27,"10009","13 - 17 years",517,1909.92,"2021 - 22","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,62,"10010","13 - 17 years",364,586.48,"2021 - 22","Q4","Flu",
"Chelsea",10011,45,"10011","13 - 17 years",493,1106.85,"2021 - 22","Q4","Flu",
"Greenwich Village/SoHo",10012,45,"10012","13 - 17 years",227,502.22,"2021 - 22","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,64,"10013","13 - 17 years",577,908.08,"2021 - 22","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,42,"10014","13 - 17 years",266,627.7,"2021 - 22","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,58,"10016","13 - 17 years",469,802.15,"2021 - 22","Q4","Flu",
"East Midtown/Murray Hill",10017,71,"10017","13 - 17 years",150,210.73,"2021 - 22","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,50,"10018","13 - 17 years",56,111.31,"2021 - 22","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,46,"10019, 10020","13 - 17 years",340,739.79,"2021 - 22","Q4","Flu",
