"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","5 - 12 years",865,853,"2023 - 24","Q2",NA
"Flu","Chinatown/Lower East Side",10002,47,"10002","5 - 12 years",2434,5183,"2023 - 24","Q2",NA
"Flu","East Village/Gramercy/Greenwich Village",10003,54,"10003","5 - 12 years",773,1426,"2023 - 24","Q2",NA
"Flu","Financial District",10004,99,"10004","5 - 12 years",164,158,"2023 - 24","Q2",NA
"Flu","Financial District",10005,99,"10005","5 - 12 years",294,207,"2023 - 24","Q2",NA
"Flu","Financial District",10006,99,"10006","5 - 12 years",229,75,"2023 - 24","Q2",NA
"Flu","TriBeCa",10007,91,"10007","5 - 12 years",459,506,"2023 - 24","Q2",NA
"Flu","Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,35,"10009","5 - 12 years",1015,2871,"2023 - 24","Q2",NA
"Flu","Flatiron/Gramercy/Kips Bay",10010,73,"10010","5 - 12 years",788,1074,"2023 - 24","Q2",NA
"Flu","Chelsea",10011,55,"10011","5 - 12 years",1033,1890,"2023 - 24","Q2",NA
"Flu","Greenwich Village/SoHo",10012,50,"10012","5 - 12 years",426,844,"2023 - 24","Q2",NA
"Flu","Hudson Square/Little Italy/SoHo/TriBeCa",10013,72,"10013","5 - 12 years",1344,1861,"2023 - 24","Q2",NA
"Flu","Hudson Square/Meatpacking District/West Village",10014,49,"10014","5 - 12 years",537,1097,"2023 - 24","Q2",NA
"Flu","Kips Bay/Murray Hill/NoMad",10016,69,"10016","5 - 12 years",1113,1607,"2023 - 24","Q2",NA
"Flu","East Midtown/Murray Hill",10017,99,"10017","5 - 12 years",2125,413,"2023 - 24","Q2",NA
"Flu","Hell's Kitchen/Midtown Manhattan",10018,99,"10018","5 - 12 years",210,204,"2023 - 24","Q2",NA
"Flu","Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","5 - 12 years",1236,1184,"2023 - 24","Q2",NA
"Flu","Lenox Hill/Upper East Side",10021,64,"10021","5 - 12 years",1467,2305,"2023 - 24","Q2",NA
"Flu","East Midtown",10022,70,"10022","5 - 12 years",842,1200,"2023 - 24","Q2",NA
"Flu","Lincoln Square",10023,66,"10023","5 - 12 years",2224,3359,"2023 - 24","Q2",NA
"Flu","Upper West Side",10024,57,"10024","5 - 12 years",2445,4270,"2023 - 24","Q2",NA
"Flu","Manhattan Valley/Morningside Heights/Upper West Side",10025,44,"10025","5 - 12 years",2539,5788,"2023 - 24","Q2",NA
"Flu","Central Harlem (South)",10026,35,"10026","5 - 12 years",1058,3050,"2023 - 24","Q2",NA
"Flu","Central Harlem (South)/Morningside Heights/West Harlem",10027,35,"10027","5 - 12 years",1602,4602,"2023 - 24","Q2",NA
"Flu","Upper East Side/Yorkville",10028,47,"10028","5 - 12 years",1491,3139,"2023 - 24","Q2",NA
"Flu","East Harlem",10029,41,"10029","5 - 12 years",2588,6351,"2023 - 24","Q2",NA
"Flu","Central Harlem (North)",10030,28,"10030","5 - 12 years",774,2716,"2023 - 24","Q2",NA
"Flu","Hamilton Heights/West Harlem",10031,33,"10031","5 - 12 years",1358,4175,"2023 - 24","Q2",NA
"Flu","Washington Heights (South)",10032,35,"10032","5 - 12 years",1383,3910,"2023 - 24","Q2",NA
"Flu","Washington Heights (North)/Washington Heights (South)",10033,39,"10033","5 - 12 years",1526,3941,"2023 - 24","Q2",NA
"Flu","Inwood/Washington Heights (North)",10034,33,"10034","5 - 12 years",987,3030,"2023 - 24","Q2",NA
"Flu","East Harlem",10035,33,"10035","5 - 12 years",1052,3148,"2023 - 24","Q2",NA
"Flu","Hell's Kitchen/Midtown Manhattan",10036,99,"10036","5 - 12 years",974,869,"2023 - 24","Q2",NA
"Flu","Central Harlem (North)/East Harlem",10037,99,"10037","5 - 12 years",2315,1276,"2023 - 24","Q2",NA
"Flu","Chinatown/Financial District",10038,54,"10038","5 - 12 years",561,1047,"2023 - 24","Q2",NA
"Flu","Central Harlem (North)/Washington Heights (South)",10039,28,"10039","5 - 12 years",824,2952,"2023 - 24","Q2",NA
"Flu","Washington Heights (North)",10040,38,"10040","5 - 12 years",1135,3005,"2023 - 24","Q2",NA
"Flu","Roosevelt Island",10044,61,"10044","5 - 12 years",426,704,"2023 - 24","Q2",NA
"Flu","Lenox Hill/Upper East Side",10065,79,"10065","5 - 12 years",1209,1524,"2023 - 24","Q2",NA
"Flu","Lincoln Square",10069,99,"10069","5 - 12 years",447,287,"2023 - 24","Q2",NA
"Flu","Lenox Hill/Upper East Side",10075,64,"10075, 10162","5 - 12 years",1013,1581,"2023 - 24","Q2",NA
"Flu","Upper East Side/Yorkville",10128,52,"10128","5 - 12 years",1942,3708,"2023 - 24","Q2",NA
"Flu","Battery Park City",10280,49,"10280","5 - 12 years",306,625,"2023 - 24","Q2",NA
"Flu","Battery Park City",10282,80,"10282","5 - 12 years",399,499,"2023 - 24","Q2",NA
"Flu","Silver Lake/St. George",10301,35,"10301","5 - 12 years",1253,3625,"2023 - 24","Q2",NA
