"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,86,"10001, 10118","5 - 12 years",1,830,962.21,"2024 - 25","Q2","Flu",
"Chinatown/Lower East Side",10002,39,"10002","5 - 12 years",1,2077,5369.42,"2024 - 25","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,50,"10003","5 - 12 years",1,706,1423.37,"2024 - 25","Q2","Flu",
"Financial District",10004,99,"10004","5 - 12 years",1,147,130.79,"2024 - 25","Q2","Flu",
"Financial District",10005,99,"10005","5 - 12 years",1,277,204.75,"2024 - 25","Q2","Flu",
"Financial District",10006,99,"10006","5 - 12 years",1,187,81.86,"2024 - 25","Q2","Flu",
"TriBeCa",10007,79,"10007","5 - 12 years",1,431,547.17,"2024 - 25","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,34,"10009","5 - 12 years",1,1000,2948.24,"2024 - 25","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,72,"10010","5 - 12 years",1,758,1057.19,"2024 - 25","Q2","Flu",
"Chelsea",10011,54,"10011","5 - 12 years",1,999,1834.96,"2024 - 25","Q2","Flu",
"Greenwich Village/SoHo",10012,43,"10012","5 - 12 years",1,384,886.73,"2024 - 25","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,67,"10013","5 - 12 years",1,1196,1790.97,"2024 - 25","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,45,"10014","5 - 12 years",1,492,1087.41,"2024 - 25","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,64,"10016","5 - 12 years",1,1018,1589.71,"2024 - 25","Q2","Flu",
"East Midtown/Murray Hill",10017,99,"10017","5 - 12 years",1,1590,411.66,"2024 - 25","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,70,"10018","5 - 12 years",1,149,214.05,"2024 - 25","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,78,"10019, 10020","5 - 12 years",1,980,1264.51,"2024 - 25","Q2","Flu",
"Lenox Hill/Upper East Side",10021,62,"10021","5 - 12 years",1,1386,2244.72,"2024 - 25","Q2","Flu",
"East Midtown",10022,57,"10022","5 - 12 years",1,724,1262.9,"2024 - 25","Q2","Flu",
"Lincoln Square",10023,58,"10023","5 - 12 years",1,2032,3491.89,"2024 - 25","Q2","Flu",
"Upper West Side",10024,55,"10024","5 - 12 years",1,2318,4245.7,"2024 - 25","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,42,"10025","5 - 12 years",1,2397,5657.86,"2024 - 25","Q2","Flu",
"Central Harlem (South)",10026,33,"10026","5 - 12 years",1,987,2968.31,"2024 - 25","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,31,"10027","5 - 12 years",1,1456,4635.44,"2024 - 25","Q2","Flu",
"Upper East Side/Yorkville",10028,47,"10028","5 - 12 years",1,1462,3119.44,"2024 - 25","Q2","Flu",
"East Harlem",10029,39,"10029","5 - 12 years",1,2631,6669.33,"2024 - 25","Q2","Flu",
"Central Harlem (North)",10030,25,"10030","5 - 12 years",1,690,2741.73,"2024 - 25","Q2","Flu",
"Hamilton Heights/West Harlem",10031,26,"10031","5 - 12 years",1,1140,4366.89,"2024 - 25","Q2","Flu",
"Washington Heights (South)",10032,32,"10032","5 - 12 years",1,1223,3834.64,"2024 - 25","Q2","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,36,"10033","5 - 12 years",1,1375,3829.17,"2024 - 25","Q2","Flu",
"Inwood/Washington Heights (North)",10034,27,"10034","5 - 12 years",1,829,3095.76,"2024 - 25","Q2","Flu",
"East Harlem",10035,30,"10035","5 - 12 years",1,986,3340.72,"2024 - 25","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,97,"10036","5 - 12 years",1,848,870.82,"2024 - 25","Q2","Flu",
"Central Harlem (North)/East Harlem",10037,77,"10037","5 - 12 years",1,970,1261.68,"2024 - 25","Q2","Flu",
"Chinatown/Financial District",10038,48,"10038","5 - 12 years",1,515,1083.67,"2024 - 25","Q2","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,24,"10039","5 - 12 years",1,737,3133.08,"2024 - 25","Q2","Flu",
"Washington Heights (North)",10040,34,"10040","5 - 12 years",1,1037,3090.51,"2024 - 25","Q2","Flu",
"Roosevelt Island",10044,59,"10044","5 - 12 years",1,429,724.61,"2024 - 25","Q2","Flu",
"Lenox Hill/Upper East Side",10065,71,"10065","5 - 12 years",1,1105,1545.67,"2024 - 25","Q2","Flu",
"Lincoln Square",10069,99,"10069","5 - 12 years",1,383,343.65,"2024 - 25","Q2","Flu",
"Lenox Hill/Upper East Side",10075,65,"10075, 10162","5 - 12 years",1,1018,1567.26,"2024 - 25","Q2","Flu",
"Upper East Side/Yorkville",10128,55,"10128","5 - 12 years",1,2153,3886.52,"2024 - 25","Q2","Flu",
"Battery Park City",10280,44,"10280","5 - 12 years",1,283,636.74,"2024 - 25","Q2","Flu",
"Battery Park City",10282,77,"10282","5 - 12 years",1,348,453.17,"2024 - 25","Q2","Flu",
"Silver Lake/St. George",10301,35,"10301","5 - 12 years",1,1253,3602.36,"2024 - 25","Q2","Flu",
"Elm Park",10302,35,"10302","5 - 12 years",1,755,2148.28,"2024 - 25","Q2","Flu",
"Graniteville/Mariner's Harbor/Port Ivory",10303,28,"10303","5 - 12 years",1,867,3121.98,"2024 - 25","Q2","Flu",
"New Dorp/Todt Hill",10304,32,"10304","5 - 12 years",1,1476,4598.88,"2024 - 25","Q2","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,28,"10305","5 - 12 years",1,1084,3816.2,"2024 - 25","Q2","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,29,"10306","5 - 12 years",1,1485,5093.49,"2024 - 25","Q2","Flu",
"Tottenville",10307,12,"10307","5 - 12 years",1,210,1706.17,"2024 - 25","Q2","Flu",
"Great Kills",10308,25,"10308","5 - 12 years",1,683,2691.56,"2024 - 25","Q2","Flu",
"Charleston/Prince's Bay/Woodrow",10309,17,"10309","5 - 12 years",1,603,3587.74,"2024 - 25","Q2","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,31,"10310","5 - 12 years",1,906,2903.23,"2024 - 25","Q2","Flu",
"Annadale/Rossville",10312,24,"10312","5 - 12 years",1,1419,5894.33,"2024 - 25","Q2","Flu",
"Bloomfield/Freshkills Park",10314,28,"10314","5 - 12 years",1,2434,8559.77,"2024 - 25","Q2","Flu",
"Concourse/Melrose",10451,48,"10451","5 - 12 years",1,2276,4742.04,"2024 - 25","Q2","Flu",
"Concourse/Highbridge",10452,40,"10452","5 - 12 years",1,3535,8902.53,"2024 - 25","Q2","Flu",
"Morris Heights/Mount Hope/University Heights",10453,38,"10453","5 - 12 years",1,3434,8960.52,"2024 - 25","Q2","Flu",
"Mott Haven/Port Morris",10454,37,"10454","5 - 12 years",1,1735,4682.14,"2024 - 25","Q2","Flu",
"Mott Haven",10455,41,"10455","5 - 12 years",1,2038,4980.99,"2024 - 25","Q2","Flu",
"Claremont/Morrisania",10456,38,"10456","5 - 12 years",1,4007,10443.83,"2024 - 25","Q2","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,37,"10457","5 - 12 years",1,3466,9383.54,"2024 - 25","Q2","Flu",
"Belmont/Fordham University/Kingsbridge",10458,35,"10458","5 - 12 years",1,3162,9150.88,"2024 - 25","Q2","Flu",
"Charlotte Gardens/Hunts Point",10459,37,"10459","5 - 12 years",1,2191,5956.84,"2024 - 25","Q2","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,33,"10460","5 - 12 years",1,2423,7306.36,"2024 - 25","Q2","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,36,"10461","5 - 12 years",1,1757,4820.15,"2024 - 25","Q2","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,43,"10462","5 - 12 years",1,3189,7403.24,"2024 - 25","Q2","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,38,"10463","5 - 12 years",1,2127,5630.35,"2024 - 25","Q2","Flu",
"City Island",10464,99,"10464","5 - 12 years",1,719,359.67,"2024 - 25","Q2","Flu",
"Country Club/Throgs Neck",10465,23,"10465","5 - 12 years",1,1078,4624.52,"2024 - 25","Q2","Flu",
"Edenwald/Wakefield",10466,27,"10466","5 - 12 years",1,2010,7438.04,"2024 - 25","Q2","Flu",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,37,"10467","5 - 12 years",1,3785,10194.07,"2024 - 25","Q2","Flu",
"Fordham/Kingsbridge/University Heights",10468,33,"10468","5 - 12 years",1,2802,8443.92,"2024 - 25","Q2","Flu",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,30,"10469","5 - 12 years",1,1963,6647.75,"2024 - 25","Q2","Flu",
"Wakefield/Woodlawn",10470,43,"10470","5 - 12 years",1,619,1450,"2024 - 25","Q2","Flu",
"Fieldston/North Riverdale/Riverdale",10471,39,"10471","5 - 12 years",1,679,1746.39,"2024 - 25","Q2","Flu",
"Soundview",10472,48,"10472","5 - 12 years",1,3362,6979.44,"2024 - 25","Q2","Flu",
"Castle Hill/Clason Point/Soundview",10473,30,"10473","5 - 12 years",1,1820,6029.22,"2024 - 25","Q2","Flu",
"Hunts Point",10474,41,"10474","5 - 12 years",1,525,1288.76,"2024 - 25","Q2","Flu",
"Co-op City/Edenwald",10475,28,"10475","5 - 12 years",1,770,2757.51,"2024 - 25","Q2","Flu",
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","5 - 12 years",1,1453,1443.02,"2024 - 25","Q2","Flu",
"Astoria (South)/Long Island City/Sunnyside",11101,84,"11101","5 - 12 years",1,2051,2449.65,"2024 - 25","Q2","Flu",
