"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Chelsea/NoMad/West Chelsea",10001,81,"10001, 10118","6 months - 4 years",454,558,"2020 - 21","Q4",NA
"Flu","Chinatown/Lower East Side",10002,68,"10002","6 months - 4 years",1762,2605,"2020 - 21","Q4",NA
"Flu","East Village/Gramercy/Greenwich Village",10003,74,"10003","6 months - 4 years",769,1038,"2020 - 21","Q4",NA
"Flu","Financial District",10004,88,"10004","6 months - 4 years",149,170,"2020 - 21","Q4",NA
"Flu","Financial District",10005,99,"10005","6 months - 4 years",241,238,"2020 - 21","Q4",NA
"Flu","Financial District",10006,99,"10006","6 months - 4 years",112,88,"2020 - 21","Q4",NA
"Flu","TriBeCa",10007,80,"10007","6 months - 4 years",410,515,"2020 - 21","Q4",NA
"Flu","Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,64,"10009","6 months - 4 years",967,1500,"2020 - 21","Q4",NA
"Flu","Flatiron/Gramercy/Kips Bay",10010,94,"10010","6 months - 4 years",778,829,"2020 - 21","Q4",NA
"Flu","Chelsea",10011,67,"10011","6 months - 4 years",932,1400,"2020 - 21","Q4",NA
"Flu","Greenwich Village/SoHo",10012,63,"10012","6 months - 4 years",351,556,"2020 - 21","Q4",NA
"Flu","Hudson Square/Little Italy/SoHo/TriBeCa",10013,77,"10013","6 months - 4 years",963,1246,"2020 - 21","Q4",NA
"Flu","Hudson Square/Meatpacking District/West Village",10014,65,"10014","6 months - 4 years",471,721,"2020 - 21","Q4",NA
"Flu","Kips Bay/Murray Hill/NoMad",10016,87,"10016","6 months - 4 years",1226,1404,"2020 - 21","Q4",NA
"Flu","East Midtown/Murray Hill",10017,99,"10017","6 months - 4 years",372,368,"2020 - 21","Q4",NA
"Flu","Hell's Kitchen/Midtown Manhattan",10018,99,"10018","6 months - 4 years",175,156,"2020 - 21","Q4",NA
"Flu","Hell's Kitchen/Midtown Manhattan",10019,86,"10019, 10020","6 months - 4 years",939,1087,"2020 - 21","Q4",NA
"Flu","Lenox Hill/Upper East Side",10021,83,"10021","6 months - 4 years",1275,1540,"2020 - 21","Q4",NA
"Flu","East Midtown",10022,86,"10022","6 months - 4 years",814,948,"2020 - 21","Q4",NA
"Flu","Lincoln Square",10023,69,"10023","6 months - 4 years",1916,2781,"2020 - 21","Q4",NA
"Flu","Upper West Side",10024,64,"10024","6 months - 4 years",1735,2702,"2020 - 21","Q4",NA
"Flu","Manhattan Valley/Morningside Heights/Upper West Side",10025,62,"10025","6 months - 4 years",2071,3331,"2020 - 21","Q4",NA
"Flu","Central Harlem (South)",10026,50,"10026","6 months - 4 years",897,1796,"2020 - 21","Q4",NA
"Flu","Central Harlem (South)/Morningside Heights/West Harlem",10027,44,"10027","6 months - 4 years",1176,2676,"2020 - 21","Q4",NA
"Flu","Upper East Side/Yorkville",10028,69,"10028","6 months - 4 years",1159,1681,"2020 - 21","Q4",NA
"Flu","East Harlem",10029,55,"10029","6 months - 4 years",1856,3398,"2020 - 21","Q4",NA
"Flu","Central Harlem (North)",10030,37,"10030","6 months - 4 years",612,1662,"2020 - 21","Q4",NA
"Flu","Hamilton Heights/West Harlem",10031,47,"10031","6 months - 4 years",1133,2389,"2020 - 21","Q4",NA
"Flu","Washington Heights (South)",10032,48,"10032","6 months - 4 years",1099,2293,"2020 - 21","Q4",NA
"Flu","Washington Heights (North)/Washington Heights (South)",10033,56,"10033","6 months - 4 years",1332,2379,"2020 - 21","Q4",NA
"Flu","Inwood/Washington Heights (North)",10034,51,"10034","6 months - 4 years",909,1771,"2020 - 21","Q4",NA
"Flu","East Harlem",10035,51,"10035","6 months - 4 years",911,1771,"2020 - 21","Q4",NA
"Flu","Hell's Kitchen/Midtown Manhattan",10036,59,"10036","6 months - 4 years",410,700,"2020 - 21","Q4",NA
"Flu","Central Harlem (North)/East Harlem",10037,59,"10037","6 months - 4 years",449,758,"2020 - 21","Q4",NA
"Flu","Chinatown/Financial District",10038,71,"10038","6 months - 4 years",482,676,"2020 - 21","Q4",NA
"Flu","Central Harlem (North)/Washington Heights (South)",10039,39,"10039","6 months - 4 years",629,1620,"2020 - 21","Q4",NA
"Flu","Washington Heights (North)",10040,54,"10040","6 months - 4 years",988,1828,"2020 - 21","Q4",NA
"Flu","Roosevelt Island",10044,85,"10044","6 months - 4 years",405,477,"2020 - 21","Q4",NA
"Flu","Lenox Hill/Upper East Side",10065,84,"10065","6 months - 4 years",1047,1250,"2020 - 21","Q4",NA
"Flu","Lincoln Square",10069,99,"10069","6 months - 4 years",383,281,"2020 - 21","Q4",NA
"Flu","Lenox Hill/Upper East Side",10075,88,"10075, 10162","6 months - 4 years",808,921,"2020 - 21","Q4",NA
"Flu","Upper East Side/Yorkville",10128,77,"10128","6 months - 4 years",1656,2144,"2020 - 21","Q4",NA
"Flu","Battery Park City",10280,54,"10280","6 months - 4 years",344,635,"2020 - 21","Q4",NA
"Flu","Battery Park City",10282,70,"10282","6 months - 4 years",395,567,"2020 - 21","Q4",NA
"Flu","Silver Lake/St. George",10301,50,"10301","6 months - 4 years",975,1935,"2020 - 21","Q4",NA
"Flu","Elm Park",10302,48,"10302","6 months - 4 years",542,1132,"2020 - 21","Q4",NA
"Flu","Graniteville/Mariner's Harbor/Port Ivory",10303,40,"10303","6 months - 4 years",656,1645,"2020 - 21","Q4",NA
"Flu","New Dorp/Todt Hill",10304,49,"10304","6 months - 4 years",1126,2285,"2020 - 21","Q4",NA
"Flu","Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,44,"10305","6 months - 4 years",890,2015,"2020 - 21","Q4",NA
"Flu","Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,44,"10306","6 months - 4 years",1148,2601,"2020 - 21","Q4",NA
"Flu","Tottenville",10307,38,"10307","6 months - 4 years",268,710,"2020 - 21","Q4",NA
"Flu","Great Kills",10308,41,"10308","6 months - 4 years",558,1358,"2020 - 21","Q4",NA
"Flu","Charleston/Prince's Bay/Woodrow",10309,40,"10309","6 months - 4 years",700,1758,"2020 - 21","Q4",NA
"Flu","Port Richmond/Randall Manor/West Brighton",10310,48,"10310","6 months - 4 years",725,1514,"2020 - 21","Q4",NA
"Flu","Annadale/Rossville",10312,45,"10312","6 months - 4 years",1308,2936,"2020 - 21","Q4",NA
"Flu","Bloomfield/Freshkills Park",10314,48,"10314","6 months - 4 years",2113,4426,"2020 - 21","Q4",NA
"Flu","Concourse/Melrose",10451,56,"10451","6 months - 4 years",1621,2914,"2020 - 21","Q4",NA
"Flu","Concourse/Highbridge",10452,50,"10452","6 months - 4 years",2636,5242,"2020 - 21","Q4",NA
"Flu","Morris Heights/Mount Hope/University Heights",10453,51,"10453","6 months - 4 years",2656,5245,"2020 - 21","Q4",NA
"Flu","Mott Haven/Port Morris",10454,49,"10454","6 months - 4 years",1285,2631,"2020 - 21","Q4",NA
"Flu","Mott Haven",10455,51,"10455","6 months - 4 years",1410,2764,"2020 - 21","Q4",NA
"Flu","Claremont/Morrisania",10456,52,"10456","6 months - 4 years",3112,5955,"2020 - 21","Q4",NA
"Flu","Belmont/Claremont/Mount Hope/Tremont",10457,48,"10457","6 months - 4 years",2639,5451,"2020 - 21","Q4",NA
"Flu","Belmont/Fordham University/Kingsbridge",10458,49,"10458","6 months - 4 years",2635,5348,"2020 - 21","Q4",NA
"Flu","Charlotte Gardens/Hunts Point",10459,43,"10459","6 months - 4 years",1512,3488,"2020 - 21","Q4",NA
"Flu","Charlotte Gardens/Tremont/Van Nest/West Farms",10460,46,"10460","6 months - 4 years",1802,3935,"2020 - 21","Q4",NA
"Flu","Morris Park/Pelham Bay/Westchester Square",10461,52,"10461","6 months - 4 years",1408,2723,"2020 - 21","Q4",NA
"Flu","Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,59,"10462","6 months - 4 years",2552,4325,"2020 - 21","Q4",NA
"Flu","Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,52,"10463","6 months - 4 years",1929,3687,"2020 - 21","Q4",NA
"Flu","City Island",10464,99,"10464","6 months - 4 years",190,167,"2020 - 21","Q4",NA
"Flu","Country Club/Throgs Neck",10465,38,"10465","6 months - 4 years",875,2332,"2020 - 21","Q4",NA
"Flu","Edenwald/Wakefield",10466,36,"10466","6 months - 4 years",1411,3902,"2020 - 21","Q4",NA
"Flu","Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,47,"10467","6 months - 4 years",2849,6000,"2020 - 21","Q4",NA
"Flu","Fordham/Kingsbridge/University Heights",10468,47,"10468","6 months - 4 years",2364,5050,"2020 - 21","Q4",NA
"Flu","Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,37,"10469","6 months - 4 years",1392,3714,"2020 - 21","Q4",NA
"Flu","Wakefield/Woodlawn",10470,43,"10470","6 months - 4 years",366,842,"2020 - 21","Q4",NA
"Flu","Fieldston/North Riverdale/Riverdale",10471,44,"10471","6 months - 4 years",524,1191,"2020 - 21","Q4",NA
"Flu","Soundview",10472,62,"10472","6 months - 4 years",2375,3849,"2020 - 21","Q4",NA
"Flu","Castle Hill/Clason Point/Soundview",10473,41,"10473","6 months - 4 years",1193,2910,"2020 - 21","Q4",NA
"Flu","Hunts Point",10474,60,"10474","6 months - 4 years",440,737,"2020 - 21","Q4",NA
"Flu","Co-op City/Edenwald",10475,38,"10475","6 months - 4 years",585,1520,"2020 - 21","Q4",NA
"Flu","Bellerose/Douglaston-Little Neck",11004,90,"11004, 11005","6 months - 4 years",727,805,"2020 - 21","Q4",NA
"Flu","Astoria (South)/Long Island City/Sunnyside",11101,84,"11101","6 months - 4 years",1341,1588,"2020 - 21","Q4",NA
"Flu","Astoria (North)",11102,83,"11102","6 months - 4 years",912,1099,"2020 - 21","Q4",NA
"Flu","Astoria (North)/Astoria (South)",11103,60,"11103","6 months - 4 years",805,1335,"2020 - 21","Q4",NA
"Flu","Sunnyside",11104,55,"11104","6 months - 4 years",656,1194,"2020 - 21","Q4",NA
"Flu","Ditmars Steinway",11105,58,"11105","6 months - 4 years",888,1543,"2020 - 21","Q4",NA
"Flu","Astoria (South)",11106,61,"11106","6 months - 4 years",967,1595,"2020 - 21","Q4",NA
"Flu","Long Island City",11109,99,"11109","6 months - 4 years",402,308,"2020 - 21","Q4",NA
"Flu","Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,71,"11201","6 months - 4 years",2528,3549,"2020 - 21","Q4",NA
"Flu","East Flatbush (North)/East Flatbush (South)",11203,42,"11203","6 months - 4 years",1423,3392,"2020 - 21","Q4",NA
"Flu","Bensonhurst/Mapleton",11204,52,"11204","6 months - 4 years",2889,5506,"2020 - 21","Q4",NA
"Flu","Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,26,"11205","6 months - 4 years",1195,4633,"2020 - 21","Q4",NA
"Flu","Williamsburg (South)",11206,24,"11206","6 months - 4 years",1642,6746,"2020 - 21","Q4",NA
"Flu","Cypress Hills/East New York",11207,37,"11207","6 months - 4 years",2141,5712,"2020 - 21","Q4",NA
"Flu","Cypress Hills/East New York",11208,45,"11208","6 months - 4 years",2920,6461,"2020 - 21","Q4",NA
"Flu","Bay Ridge/Fort Hamilton",11209,46,"11209","6 months - 4 years",1651,3590,"2020 - 21","Q4",NA
"Flu","Flatlands/Midwood",11210,45,"11210","6 months - 4 years",1635,3664,"2020 - 21","Q4",NA
"Flu","East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,29,"11211, 11249","6 months - 4 years",2571,8728,"2020 - 21","Q4",NA
"Flu","Ocean Hill-Brownsville",11212,38,"11212","6 months - 4 years",1861,4933,"2020 - 21","Q4",NA
"Flu","Crown Heights (East)",11213,33,"11213","6 months - 4 years",1486,4464,"2020 - 21","Q4",NA
"Flu","Bath Beach/Bensonhurst/Gravesend",11214,63,"11214","6 months - 4 years",3014,4799,"2020 - 21","Q4",NA
"Flu","Gowanus/Park Slope/Windsor Terrace",11215,64,"11215","6 months - 4 years",2636,4101,"2020 - 21","Q4",NA
"Flu","Bedford-Stuyvesant (West)/Crown Heights (West)",11216,34,"11216","6 months - 4 years",909,2672,"2020 - 21","Q4",NA
"Flu","Boerum Hill/Park Slope",11217,60,"11217, 11243","6 months - 4 years",1286,2140,"2020 - 21","Q4",NA
"Flu","Kensington/Windsor Terrace",11218,56,"11218","6 months - 4 years",2882,5153,"2020 - 21","Q4",NA
"Flu","Borough Park",11219,50,"11219","6 months - 4 years",4924,9769,"2020 - 21","Q4",NA
"Flu","Sunset Park",11220,80,"11220","6 months - 4 years",4740,5913,"2020 - 21","Q4",NA
"Flu","Bedford-Stuyvesant (East)/Bushwick",11221,35,"11221","6 months - 4 years",1548,4447,"2020 - 21","Q4",NA
"Flu","Greenpoint",11222,69,"11222","6 months - 4 years",827,1193,"2020 - 21","Q4",NA
"Flu","Gravesend/Homecrest",11223,64,"11223","6 months - 4 years",2941,4597,"2020 - 21","Q4",NA
"Flu","Brighton Beach/Coney Island/Seagate",11224,45,"11224","6 months - 4 years",863,1931,"2020 - 21","Q4",NA
"Flu","Crown Heights (West)/Prospect Lefferts Gardens",11225,39,"11225","6 months - 4 years",1300,3302,"2020 - 21","Q4",NA
"Flu","Flatbush/Prospect Lefferts Gardens",11226,42,"11226","6 months - 4 years",2246,5292,"2020 - 21","Q4",NA
"Flu","Bath Beach/Dyker Heights",11228,54,"11228","6 months - 4 years",1157,2146,"2020 - 21","Q4",NA
"Flu","Gerritsen Beach/Homecrest/Sheepshead Bay",11229,57,"11229","6 months - 4 years",2315,4094,"2020 - 21","Q4",NA
"Flu","Midwood",11230,58,"11230","6 months - 4 years",3573,6213,"2020 - 21","Q4",NA
"Flu","Carroll Gardens/Cobble Hill/Red Hook",11231,52,"11231","6 months - 4 years",1204,2313,"2020 - 21","Q4",NA
"Flu","Sunset Park",11232,57,"11232","6 months - 4 years",937,1632,"2020 - 21","Q4",NA
"Flu","Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,28,"11233","6 months - 4 years",1397,4977,"2020 - 21","Q4",NA
"Flu","Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,42,"11234","6 months - 4 years",1863,4469,"2020 - 21","Q4",NA
"Flu","Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,60,"11235","6 months - 4 years",2120,3551,"2020 - 21","Q4",NA
"Flu","Canarsie",11236,35,"11236","6 months - 4 years",1661,4680,"2020 - 21","Q4",NA
"Flu","Bushwick/East Williamsburg",11237,51,"11237","6 months - 4 years",1258,2474,"2020 - 21","Q4",NA
"Flu","Clinton Hill/Prospect Heights",11238,59,"11238","6 months - 4 years",1662,2827,"2020 - 21","Q4",NA
"Flu","East New York",11239,34,"11239","6 months - 4 years",219,647,"2020 - 21","Q4",NA
"Flu","Flushing/Murray Hill",11354,90,"11354","6 months - 4 years",1769,1963,"2020 - 21","Q4",NA
