"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","6 months - 4 years",1,637,563.27,"2023 - 24","Q4","Flu",
"Chinatown/Lower East Side",10002,51,"10002","6 months - 4 years",1,1189,2339.27,"2023 - 24","Q4","Flu",
"East Village/Gramercy/Greenwich Village",10003,85,"10003","6 months - 4 years",1,796,932.13,"2023 - 24","Q4","Flu",
"Financial District",10004,99,"10004","6 months - 4 years",1,148,126.14,"2023 - 24","Q4","Flu",
"Financial District",10005,99,"10005","6 months - 4 years",1,272,225.55,"2023 - 24","Q4","Flu",
"Financial District",10006,99,"10006","6 months - 4 years",1,151,90.88,"2023 - 24","Q4","Flu",
"TriBeCa",10007,82,"10007","6 months - 4 years",1,413,505.33,"2023 - 24","Q4","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,57,"10009","6 months - 4 years",1,811,1423.4,"2023 - 24","Q4","Flu",
"Flatiron/Gramercy/Kips Bay",10010,92,"10010","6 months - 4 years",1,683,743.26,"2023 - 24","Q4","Flu",
"Chelsea",10011,71,"10011","6 months - 4 years",1,884,1253.39,"2023 - 24","Q4","Flu",
"Greenwich Village/SoHo",10012,75,"10012","6 months - 4 years",1,392,519.4,"2023 - 24","Q4","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,91,"10013","6 months - 4 years",1,966,1058.84,"2023 - 24","Q4","Flu",
"Hudson Square/Meatpacking District/West Village",10014,81,"10014","6 months - 4 years",1,541,664.4,"2023 - 24","Q4","Flu",
"Kips Bay/Murray Hill/NoMad",10016,82,"10016","6 months - 4 years",1,1016,1238.28,"2023 - 24","Q4","Flu",
"East Midtown/Murray Hill",10017,99,"10017","6 months - 4 years",1,725,350.82,"2023 - 24","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","6 months - 4 years",1,145,141.29,"2023 - 24","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,95,"10019, 10020","6 months - 4 years",1,983,1033.09,"2023 - 24","Q4","Flu",
"Lenox Hill/Upper East Side",10021,99,"10021","6 months - 4 years",1,1361,1363.08,"2023 - 24","Q4","Flu",
"East Midtown",10022,85,"10022","6 months - 4 years",1,760,899.09,"2023 - 24","Q4","Flu",
"Lincoln Square",10023,70,"10023","6 months - 4 years",1,1833,2608.11,"2023 - 24","Q4","Flu",
"Upper West Side",10024,71,"10024","6 months - 4 years",1,1749,2479.19,"2023 - 24","Q4","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,63,"10025","6 months - 4 years",1,1916,3019.85,"2023 - 24","Q4","Flu",
"Central Harlem (South)",10026,39,"10026","6 months - 4 years",1,647,1670.31,"2023 - 24","Q4","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,39,"10027","6 months - 4 years",1,996,2542.68,"2023 - 24","Q4","Flu",
"Upper East Side/Yorkville",10028,64,"10028","6 months - 4 years",1,974,1520.95,"2023 - 24","Q4","Flu",
"East Harlem",10029,48,"10029","6 months - 4 years",1,1613,3330.17,"2023 - 24","Q4","Flu",
"Central Harlem (North)",10030,30,"10030","6 months - 4 years",1,488,1602.32,"2023 - 24","Q4","Flu",
"Hamilton Heights/West Harlem",10031,40,"10031","6 months - 4 years",1,944,2387.25,"2023 - 24","Q4","Flu",
"Washington Heights (South)",10032,41,"10032","6 months - 4 years",1,887,2145.82,"2023 - 24","Q4","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,46,"10033","6 months - 4 years",1,1009,2217.56,"2023 - 24","Q4","Flu",
"Inwood/Washington Heights (North)",10034,40,"10034","6 months - 4 years",1,693,1719.87,"2023 - 24","Q4","Flu",
"East Harlem",10035,35,"10035","6 months - 4 years",1,621,1780.7,"2023 - 24","Q4","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","6 months - 4 years",1,662,639.83,"2023 - 24","Q4","Flu",
"Central Harlem (North)/East Harlem",10037,95,"10037","6 months - 4 years",1,684,716.95,"2023 - 24","Q4","Flu",
"Chinatown/Financial District",10038,66,"10038","6 months - 4 years",1,414,622.7,"2023 - 24","Q4","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,27,"10039","6 months - 4 years",1,442,1637.23,"2023 - 24","Q4","Flu",
"Washington Heights (North)",10040,41,"10040","6 months - 4 years",1,734,1804.25,"2023 - 24","Q4","Flu",
"Roosevelt Island",10044,88,"10044","6 months - 4 years",1,365,416.62,"2023 - 24","Q4","Flu",
