"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","6 months - 4 years",808,506,"2023 - 24","Q2","Flu",NA
"Chinatown/Lower East Side",10002,63,"10002","6 months - 4 years",1451,2294,"2023 - 24","Q2","Flu",NA
"East Village/Gramercy/Greenwich Village",10003,97,"10003","6 months - 4 years",911,936,"2023 - 24","Q2","Flu",NA
"Financial District",10004,99,"10004","6 months - 4 years",167,150,"2023 - 24","Q2","Flu",NA
"Financial District",10005,99,"10005","6 months - 4 years",318,215,"2023 - 24","Q2","Flu",NA
"Financial District",10006,99,"10006","6 months - 4 years",201,79,"2023 - 24","Q2","Flu",NA
"TriBeCa",10007,97,"10007","6 months - 4 years",453,467,"2023 - 24","Q2","Flu",NA
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,72,"10009","6 months - 4 years",994,1376,"2023 - 24","Q2","Flu",NA
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","6 months - 4 years",778,748,"2023 - 24","Q2","Flu",NA
"Chelsea",10011,79,"10011","6 months - 4 years",1014,1278,"2023 - 24","Q2","Flu",NA
"Greenwich Village/SoHo",10012,92,"10012","6 months - 4 years",458,499,"2023 - 24","Q2","Flu",NA
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,98,"10013","6 months - 4 years",1083,1110,"2023 - 24","Q2","Flu",NA
"Hudson Square/Meatpacking District/West Village",10014,95,"10014","6 months - 4 years",627,659,"2023 - 24","Q2","Flu",NA
"Kips Bay/Murray Hill/NoMad",10016,96,"10016","6 months - 4 years",1201,1254,"2023 - 24","Q2","Flu",NA
"East Midtown/Murray Hill",10017,99,"10017","6 months - 4 years",1157,327,"2023 - 24","Q2","Flu",NA
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","6 months - 4 years",192,139,"2023 - 24","Q2","Flu",NA
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","6 months - 4 years",1260,976,"2023 - 24","Q2","Flu",NA
"Lenox Hill/Upper East Side",10021,99,"10021","6 months - 4 years",1517,1392,"2023 - 24","Q2","Flu",NA
"East Midtown",10022,99,"10022","6 months - 4 years",906,853,"2023 - 24","Q2","Flu",NA
"Lincoln Square",10023,85,"10023","6 months - 4 years",2112,2493,"2023 - 24","Q2","Flu",NA
"Upper West Side",10024,81,"10024","6 months - 4 years",2003,2465,"2023 - 24","Q2","Flu",NA
"Manhattan Valley/Morningside Heights/Upper West Side",10025,73,"10025","6 months - 4 years",2231,3053,"2023 - 24","Q2","Flu",NA
"Central Harlem (South)",10026,52,"10026","6 months - 4 years",875,1667,"2023 - 24","Q2","Flu",NA
"Central Harlem (South)/Morningside Heights/West Harlem",10027,55,"10027","6 months - 4 years",1363,2487,"2023 - 24","Q2","Flu",NA
"Upper East Side/Yorkville",10028,75,"10028","6 months - 4 years",1140,1521,"2023 - 24","Q2","Flu",NA
"East Harlem",10029,69,"10029","6 months - 4 years",2185,3153,"2023 - 24","Q2","Flu",NA
"Central Harlem (North)",10030,45,"10030","6 months - 4 years",705,1552,"2023 - 24","Q2","Flu",NA
"Hamilton Heights/West Harlem",10031,55,"10031","6 months - 4 years",1229,2248,"2023 - 24","Q2","Flu",NA
"Washington Heights (South)",10032,54,"10032","6 months - 4 years",1168,2158,"2023 - 24","Q2","Flu",NA
"Washington Heights (North)/Washington Heights (South)",10033,59,"10033","6 months - 4 years",1310,2235,"2023 - 24","Q2","Flu",NA
"Inwood/Washington Heights (North)",10034,54,"10034","6 months - 4 years",893,1668,"2023 - 24","Q2","Flu",NA
"East Harlem",10035,53,"10035","6 months - 4 years",889,1664,"2023 - 24","Q2","Flu",NA
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","6 months - 4 years",945,636,"2023 - 24","Q2","Flu",NA
"Central Harlem (North)/East Harlem",10037,99,"10037","6 months - 4 years",1147,709,"2023 - 24","Q2","Flu",NA
"Chinatown/Financial District",10038,78,"10038","6 months - 4 years",475,605,"2023 - 24","Q2","Flu",NA
"Central Harlem (North)/Washington Heights (South)",10039,43,"10039","6 months - 4 years",648,1520,"2023 - 24","Q2","Flu",NA
"Washington Heights (North)",10040,56,"10040","6 months - 4 years",960,1723,"2023 - 24","Q2","Flu",NA
"Roosevelt Island",10044,99,"10044","6 months - 4 years",425,414,"2023 - 24","Q2","Flu",NA
"Lenox Hill/Upper East Side",10065,99,"10065","6 months - 4 years",1295,1117,"2023 - 24","Q2","Flu",NA
"Lincoln Square",10069,99,"10069","6 months - 4 years",358,237,"2023 - 24","Q2","Flu",NA
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","6 months - 4 years",907,837,"2023 - 24","Q2","Flu",NA
"Upper East Side/Yorkville",10128,87,"10128","6 months - 4 years",1681,1942,"2023 - 24","Q2","Flu",NA
"Battery Park City",10280,50,"10280","6 months - 4 years",284,567,"2023 - 24","Q2","Flu",NA
"Battery Park City",10282,75,"10282","6 months - 4 years",382,512,"2023 - 24","Q2","Flu",NA
"Silver Lake/St. George",10301,62,"10301","6 months - 4 years",1119,1819,"2023 - 24","Q2","Flu",NA
