"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,62,"10001, 10118","6 months - 17 years",1,1390,2224.6,"2021 - 22","Q2","Flu",
"Chinatown/Lower East Side",10002,61,"10002","6 months - 17 years",1,6618,10862.4,"2021 - 22","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,70,"10003","6 months - 17 years",1,2336,3333.6,"2021 - 22","Q2","Flu",
"Financial District",10004,99,"10004","6 months - 17 years",1,431,339.22,"2021 - 22","Q2","Flu",
"Financial District",10005,99,"10005","6 months - 17 years",1,539,525.29,"2021 - 22","Q2","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",1,319,244.55,"2021 - 22","Q2","Flu",
"TriBeCa",10007,94,"10007","6 months - 17 years",1,1216,1288.26,"2021 - 22","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,46,"10009","6 months - 17 years",1,2961,6380.94,"2021 - 22","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,92,"10010","6 months - 17 years",1,2248,2430.82,"2021 - 22","Q2","Flu",
"Chelsea",10011,71,"10011","6 months - 17 years",1,2994,4237.9,"2021 - 22","Q2","Flu",
"Greenwich Village/SoHo",10012,59,"10012","6 months - 17 years",1,1157,1960.78,"2021 - 22","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,83,"10013","6 months - 17 years",1,3162,3809.31,"2021 - 22","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,65,"10014","6 months - 17 years",1,1572,2419.37,"2021 - 22","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,81,"10016","6 months - 17 years",1,3013,3712.94,"2021 - 22","Q2","Flu",
"East Midtown/Murray Hill",10017,98,"10017","6 months - 17 years",1,991,1009.63,"2021 - 22","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,79,"10018","6 months - 17 years",1,384,486.59,"2021 - 22","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,74,"10019, 10020","6 months - 17 years",1,2311,3143.09,"2021 - 22","Q2","Flu",
"Lenox Hill/Upper East Side",10021,84,"10021","6 months - 17 years",1,4043,4841.54,"2021 - 22","Q2","Flu",
"East Midtown",10022,82,"10022","6 months - 17 years",1,2367,2872.7,"2021 - 22","Q2","Flu",
"Lincoln Square",10023,71,"10023","6 months - 17 years",1,5901,8266.45,"2021 - 22","Q2","Flu",
"Upper West Side",10024,66,"10024","6 months - 17 years",1,6266,9552.87,"2021 - 22","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,55,"10025","6 months - 17 years",1,6959,12540.13,"2021 - 22","Q2","Flu",
"Central Harlem (South)",10026,49,"10026","6 months - 17 years",1,3077,6342.67,"2021 - 22","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,45,"10027","6 months - 17 years",1,4554,10039.25,"2021 - 22","Q2","Flu",
"Upper East Side/Yorkville",10028,61,"10028","6 months - 17 years",1,4079,6669.09,"2021 - 22","Q2","Flu",
"East Harlem",10029,51,"10029","6 months - 17 years",1,7202,14180.74,"2021 - 22","Q2","Flu",
"Central Harlem (North)",10030,36,"10030","6 months - 17 years",1,2188,6070.17,"2021 - 22","Q2","Flu",
"Hamilton Heights/West Harlem",10031,42,"10031","6 months - 17 years",1,4037,9547.17,"2021 - 22","Q2","Flu",
"Washington Heights (South)",10032,48,"10032","6 months - 17 years",1,4062,8522.01,"2021 - 22","Q2","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,51,"10033","6 months - 17 years",1,4326,8545.65,"2021 - 22","Q2","Flu",
"Inwood/Washington Heights (North)",10034,46,"10034","6 months - 17 years",1,3113,6743.46,"2021 - 22","Q2","Flu",
"East Harlem",10035,44,"10035","6 months - 17 years",1,3145,7229.4,"2021 - 22","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,57,"10036","6 months - 17 years",1,1187,2067.1,"2021 - 22","Q2","Flu",
"Central Harlem (North)/East Harlem",10037,99,"10037","6 months - 17 years",1,3156,2805.26,"2021 - 22","Q2","Flu",
"Chinatown/Financial District",10038,68,"10038","6 months - 17 years",1,1635,2403.14,"2021 - 22","Q2","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,35,"10039","6 months - 17 years",1,2371,6682.02,"2021 - 22","Q2","Flu",
"Washington Heights (North)",10040,47,"10040","6 months - 17 years",1,3271,6919.86,"2021 - 22","Q2","Flu",
"Roosevelt Island",10044,66,"10044","6 months - 17 years",1,1138,1730.72,"2021 - 22","Q2","Flu",
"Lenox Hill/Upper East Side",10065,83,"10065","6 months - 17 years",1,2944,3537.69,"2021 - 22","Q2","Flu",
"Lincoln Square",10069,99,"10069","6 months - 17 years",1,1136,829.21,"2021 - 22","Q2","Flu",
"Lenox Hill/Upper East Side",10075,84,"10075, 10162","6 months - 17 years",1,2779,3292.33,"2021 - 22","Q2","Flu",
"Upper East Side/Yorkville",10128,65,"10128","6 months - 17 years",1,5598,8587.46,"2021 - 22","Q2","Flu",
"Battery Park City",10280,58,"10280","6 months - 17 years",1,871,1503.84,"2021 - 22","Q2","Flu",
"Battery Park City",10282,89,"10282","6 months - 17 years",1,1023,1150.33,"2021 - 22","Q2","Flu",
"Silver Lake/St. George",10301,41,"10301","6 months - 17 years",1,3237,7877.44,"2021 - 22","Q2","Flu",
"Elm Park",10302,41,"10302","6 months - 17 years",1,1960,4788.83,"2021 - 22","Q2","Flu",
"Graniteville/Mariner's Harbor/Port Ivory",10303,34,"10303","6 months - 17 years",1,2306,6799.97,"2021 - 22","Q2","Flu",
"New Dorp/Todt Hill",10304,39,"10304","6 months - 17 years",1,3848,9894.39,"2021 - 22","Q2","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,35,"10305","6 months - 17 years",1,2855,8136.76,"2021 - 22","Q2","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,31,"10306","6 months - 17 years",1,3470,11164.25,"2021 - 22","Q2","Flu",
"Tottenville",10307,15,"10307","6 months - 17 years",1,547,3541.43,"2021 - 22","Q2","Flu",
"Great Kills",10308,26,"10308","6 months - 17 years",1,1524,5903.02,"2021 - 22","Q2","Flu",
"Charleston/Prince's Bay/Woodrow",10309,21,"10309","6 months - 17 years",1,1622,7611.37,"2021 - 22","Q2","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,38,"10310","6 months - 17 years",1,2398,6330.23,"2021 - 22","Q2","Flu",
"Annadale/Rossville",10312,26,"10312","6 months - 17 years",1,3367,12796.3,"2021 - 22","Q2","Flu",
"Bloomfield/Freshkills Park",10314,32,"10314","6 months - 17 years",1,5853,18362.13,"2021 - 22","Q2","Flu",
"Concourse/Melrose",10451,60,"10451","6 months - 17 years",1,6320,10607.85,"2021 - 22","Q2","Flu",
"Concourse/Highbridge",10452,52,"10452","6 months - 17 years",1,10084,19357.91,"2021 - 22","Q2","Flu",
"Morris Heights/Mount Hope/University Heights",10453,51,"10453","6 months - 17 years",1,10051,19720.3,"2021 - 22","Q2","Flu",
"Mott Haven/Port Morris",10454,51,"10454","6 months - 17 years",1,5195,10190.14,"2021 - 22","Q2","Flu",
"Mott Haven",10455,52,"10455","6 months - 17 years",1,5606,10782.46,"2021 - 22","Q2","Flu",
"Claremont/Morrisania",10456,53,"10456","6 months - 17 years",1,12013,22605.98,"2021 - 22","Q2","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,49,"10457","6 months - 17 years",1,10043,20613.45,"2021 - 22","Q2","Flu",
"Belmont/Fordham University/Kingsbridge",10458,46,"10458","6 months - 17 years",1,9083,19632.77,"2021 - 22","Q2","Flu",
"Charlotte Gardens/Hunts Point",10459,45,"10459","6 months - 17 years",1,5754,12822.73,"2021 - 22","Q2","Flu",
