"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","6 months - 17 years",1965,1958.68,"2022 - 23","Q2","Flu",
"Chinatown/Lower East Side",10002,58,"10002","6 months - 17 years",6069,10449.29,"2022 - 23","Q2","Flu",
"East Village/Gramercy/Greenwich Village",10003,68,"10003","6 months - 17 years",2230,3286.95,"2022 - 23","Q2","Flu",
"Financial District",10004,99,"10004","6 months - 17 years",448,394.14,"2022 - 23","Q2","Flu",
"Financial District",10005,99,"10005","6 months - 17 years",578,502.76,"2022 - 23","Q2","Flu",
"Financial District",10006,99,"10006","6 months - 17 years",320,208.82,"2022 - 23","Q2","Flu",
"TriBeCa",10007,99,"10007","6 months - 17 years",1171,1169.29,"2022 - 23","Q2","Flu",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,45,"10009","6 months - 17 years",2781,6149.62,"2022 - 23","Q2","Flu",
"Flatiron/Gramercy/Kips Bay",10010,88,"10010","6 months - 17 years",2123,2407.52,"2022 - 23","Q2","Flu",
"Chelsea",10011,65,"10011","6 months - 17 years",2778,4269.69,"2022 - 23","Q2","Flu",
"Greenwich Village/SoHo",10012,61,"10012","6 months - 17 years",1119,1846.12,"2022 - 23","Q2","Flu",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,84,"10013","6 months - 17 years",3267,3883.33,"2022 - 23","Q2","Flu",
"Hudson Square/Meatpacking District/West Village",10014,64,"10014","6 months - 17 years",1528,2380.26,"2022 - 23","Q2","Flu",
"Kips Bay/Murray Hill/NoMad",10016,77,"10016","6 months - 17 years",2823,3663.56,"2022 - 23","Q2","Flu",
"East Midtown/Murray Hill",10017,92,"10017","6 months - 17 years",877,951.45,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10018,86,"10018","6 months - 17 years",392,454.4,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","6 months - 17 years",3037,2901,"2022 - 23","Q2","Flu",
"Lenox Hill/Upper East Side",10021,75,"10021","6 months - 17 years",3660,4859.89,"2022 - 23","Q2","Flu",
"East Midtown",10022,84,"10022","6 months - 17 years",2250,2666.24,"2022 - 23","Q2","Flu",
"Lincoln Square",10023,71,"10023","6 months - 17 years",5505,7754.35,"2022 - 23","Q2","Flu",
"Upper West Side",10024,62,"10024","6 months - 17 years",5808,9338.09,"2022 - 23","Q2","Flu",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,53,"10025","6 months - 17 years",6669,12602.12,"2022 - 23","Q2","Flu",
"Central Harlem (South)",10026,45,"10026","6 months - 17 years",2899,6389.55,"2022 - 23","Q2","Flu",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,45,"10027","6 months - 17 years",4441,9834.45,"2022 - 23","Q2","Flu",
"Upper East Side/Yorkville",10028,58,"10028","6 months - 17 years",3783,6537.82,"2022 - 23","Q2","Flu",
"East Harlem",10029,49,"10029","6 months - 17 years",6638,13423.75,"2022 - 23","Q2","Flu",
"Central Harlem (North)",10030,35,"10030","6 months - 17 years",2065,5929.11,"2022 - 23","Q2","Flu",
"Hamilton Heights/West Harlem",10031,42,"10031","6 months - 17 years",3773,9064.49,"2022 - 23","Q2","Flu",
"Washington Heights (South)",10032,44,"10032","6 months - 17 years",3803,8655.2,"2022 - 23","Q2","Flu",
"Washington Heights (North)/Washington Heights (South)",10033,46,"10033","6 months - 17 years",4020,8753.64,"2022 - 23","Q2","Flu",
"Inwood/Washington Heights (North)",10034,40,"10034","6 months - 17 years",2668,6597.72,"2022 - 23","Q2","Flu",
"East Harlem",10035,42,"10035","6 months - 17 years",2880,6795.98,"2022 - 23","Q2","Flu",
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","6 months - 17 years",2393,2032.37,"2022 - 23","Q2","Flu",
"Central Harlem (North)/East Harlem",10037,99,"10037","6 months - 17 years",4033,2796.61,"2022 - 23","Q2","Flu",
"Chinatown/Financial District",10038,69,"10038","6 months - 17 years",1582,2297.89,"2022 - 23","Q2","Flu",
"Central Harlem (North)/Washington Heights (South)",10039,35,"10039","6 months - 17 years",2160,6234.79,"2022 - 23","Q2","Flu",
"Washington Heights (North)",10040,44,"10040","6 months - 17 years",2956,6701.49,"2022 - 23","Q2","Flu",
"Roosevelt Island",10044,64,"10044","6 months - 17 years",1063,1662.14,"2022 - 23","Q2","Flu",
"Lenox Hill/Upper East Side",10065,83,"10065","6 months - 17 years",2829,3400.76,"2022 - 23","Q2","Flu",
"Lincoln Square",10069,99,"10069","6 months - 17 years",1061,693.98,"2022 - 23","Q2","Flu",
"Lenox Hill/Upper East Side",10075,79,"10075, 10162","6 months - 17 years",2575,3245.75,"2022 - 23","Q2","Flu",
"Upper East Side/Yorkville",10128,64,"10128","6 months - 17 years",5103,8026.99,"2022 - 23","Q2","Flu",
"Battery Park City",10280,56,"10280","6 months - 17 years",821,1459.15,"2022 - 23","Q2","Flu",
"Battery Park City",10282,83,"10282","6 months - 17 years",1015,1219.46,"2022 - 23","Q2","Flu",
"Silver Lake/St. George",10301,40,"10301","6 months - 17 years",3112,7735.69,"2022 - 23","Q2","Flu",
"Elm Park",10302,41,"10302","6 months - 17 years",1812,4464.85,"2022 - 23","Q2","Flu",
"Graniteville/Mariner's Harbor/Port Ivory",10303,31,"10303","6 months - 17 years",2160,7075.57,"2022 - 23","Q2","Flu",
"New Dorp/Todt Hill",10304,40,"10304","6 months - 17 years",3839,9551.62,"2022 - 23","Q2","Flu",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,33,"10305","6 months - 17 years",2757,8253.98,"2022 - 23","Q2","Flu",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,31,"10306","6 months - 17 years",3339,10850.42,"2022 - 23","Q2","Flu",
"Tottenville",10307,16,"10307","6 months - 17 years",560,3409.71,"2022 - 23","Q2","Flu",
"Great Kills",10308,26,"10308","6 months - 17 years",1502,5795.99,"2022 - 23","Q2","Flu",
"Charleston/Prince's Bay/Woodrow",10309,22,"10309","6 months - 17 years",1589,7357.39,"2022 - 23","Q2","Flu",
"Port Richmond/Randall Manor/West Brighton",10310,35,"10310","6 months - 17 years",2236,6324.96,"2022 - 23","Q2","Flu",
"Annadale/Rossville",10312,26,"10312","6 months - 17 years",3211,12543.68,"2022 - 23","Q2","Flu",
"Bloomfield/Freshkills Park",10314,31,"10314","6 months - 17 years",5735,18614.88,"2022 - 23","Q2","Flu",
"Concourse/Melrose",10451,55,"10451","6 months - 17 years",5949,10745.96,"2022 - 23","Q2","Flu",
"Concourse/Highbridge",10452,50,"10452","6 months - 17 years",9444,18735.99,"2022 - 23","Q2","Flu",
"Morris Heights/Mount Hope/University Heights",10453,49,"10453","6 months - 17 years",9374,19139.66,"2022 - 23","Q2","Flu",
"Mott Haven/Port Morris",10454,49,"10454","6 months - 17 years",4806,9874.7,"2022 - 23","Q2","Flu",
"Mott Haven",10455,50,"10455","6 months - 17 years",5248,10477.9,"2022 - 23","Q2","Flu",
"Claremont/Morrisania",10456,51,"10456","6 months - 17 years",11277,22065.58,"2022 - 23","Q2","Flu",
"Belmont/Claremont/Mount Hope/Tremont",10457,48,"10457","6 months - 17 years",9507,19629.07,"2022 - 23","Q2","Flu",
"Belmont/Fordham University/Kingsbridge",10458,46,"10458","6 months - 17 years",8914,19439.6,"2022 - 23","Q2","Flu",
"Charlotte Gardens/Hunts Point",10459,42,"10459","6 months - 17 years",5397,12746.77,"2022 - 23","Q2","Flu",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,44,"10460","6 months - 17 years",6432,14634.73,"2022 - 23","Q2","Flu",
"Morris Park/Pelham Bay/Westchester Square",10461,46,"10461","6 months - 17 years",4497,9784.03,"2022 - 23","Q2","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,55,"10462","6 months - 17 years",8366,15215.51,"2022 - 23","Q2","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,49,"10463","6 months - 17 years",5993,12291.37,"2022 - 23","Q2","Flu",
"City Island",10464,99,"10464","6 months - 17 years",1476,765.47,"2022 - 23","Q2","Flu",
"Country Club/Throgs Neck",10465,33,"10465","6 months - 17 years",3062,9372.17,"2022 - 23","Q2","Flu",
"Edenwald/Wakefield",10466,37,"10466","6 months - 17 years",5641,15355.06,"2022 - 23","Q2","Flu",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,48,"10467","6 months - 17 years",10207,21287.82,"2022 - 23","Q2","Flu",
"Fordham/Kingsbridge/University Heights",10468,45,"10468","6 months - 17 years",8143,17963.24,"2022 - 23","Q2","Flu",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,36,"10469","6 months - 17 years",5245,14567.01,"2022 - 23","Q2","Flu",
"Wakefield/Woodlawn",10470,47,"10470","6 months - 17 years",1414,2979.09,"2022 - 23","Q2","Flu",
"Fieldston/North Riverdale/Riverdale",10471,48,"10471","6 months - 17 years",1744,3640.7,"2022 - 23","Q2","Flu",
"Soundview",10472,60,"10472","6 months - 17 years",8639,14418.98,"2022 - 23","Q2","Flu",
"Castle Hill/Clason Point/Soundview",10473,38,"10473","6 months - 17 years",4803,12641,"2022 - 23","Q2","Flu",
"Hunts Point",10474,54,"10474","6 months - 17 years",1463,2699.12,"2022 - 23","Q2","Flu",
"Co-op City/Edenwald",10475,35,"10475","6 months - 17 years",2161,6183.55,"2022 - 23","Q2","Flu",
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","6 months - 17 years",3478,3259.97,"2022 - 23","Q2","Flu",
"Astoria (South)/Long Island City/Sunnyside",11101,92,"11101","6 months - 17 years",4393,4778.32,"2022 - 23","Q2","Flu",
"Astoria (North)",11102,63,"11102","6 months - 17 years",2501,3981.36,"2022 - 23","Q2","Flu",
"Astoria (North)/Astoria (South)",11103,44,"11103","6 months - 17 years",2061,4664.02,"2022 - 23","Q2","Flu",
"Sunnyside",11104,57,"11104","6 months - 17 years",2055,3605.22,"2022 - 23","Q2","Flu",
"Ditmars Steinway",11105,44,"11105","6 months - 17 years",2266,5100.96,"2022 - 23","Q2","Flu",
"Astoria (South)",11106,51,"11106","6 months - 17 years",2708,5352.82,"2022 - 23","Q2","Flu",
"Long Island City",11109,99,"11109","6 months - 17 years",689,450.71,"2022 - 23","Q2","Flu",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,78,"11201","6 months - 17 years",6726,8630.98,"2022 - 23","Q2","Flu",
"East Flatbush (North)/East Flatbush (South)",11203,35,"11203","6 months - 17 years",4285,12127.3,"2022 - 23","Q2","Flu",
"Bensonhurst/Mapleton",11204,39,"11204","6 months - 17 years",7889,20157.75,"2022 - 23","Q2","Flu",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,25,"11205","6 months - 17 years",3106,12511.26,"2022 - 23","Q2","Flu",
"Williamsburg (South)",11206,20,"11206","6 months - 17 years",4819,23738.06,"2022 - 23","Q2","Flu",
"Cypress Hills/East New York",11207,34,"11207","6 months - 17 years",7166,20856.05,"2022 - 23","Q2","Flu",
"Cypress Hills/East New York",11208,39,"11208","6 months - 17 years",9606,24696.23,"2022 - 23","Q2","Flu",
"Bay Ridge/Fort Hamilton",11209,39,"11209","6 months - 17 years",4889,12409.88,"2022 - 23","Q2","Flu",
"Flatlands/Midwood",11210,31,"11210","6 months - 17 years",4314,14039.42,"2022 - 23","Q2","Flu",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,20,"11211, 11249","6 months - 17 years",5249,26652.15,"2022 - 23","Q2","Flu",
"Ocean Hill-Brownsville",11212,38,"11212","6 months - 17 years",6821,18185.45,"2022 - 23","Q2","Flu",
"Crown Heights (East)",11213,23,"11213","6 months - 17 years",3576,15391.62,"2022 - 23","Q2","Flu",
"Bath Beach/Bensonhurst/Gravesend",11214,55,"11214","6 months - 17 years",9375,17050.15,"2022 - 23","Q2","Flu",
"Gowanus/Park Slope/Windsor Terrace",11215,75,"11215","6 months - 17 years",8668,11573.39,"2022 - 23","Q2","Flu",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,32,"11216","6 months - 17 years",2712,8528.31,"2022 - 23","Q2","Flu",
"Boerum Hill/Park Slope",11217,64,"11217, 11243","6 months - 17 years",3627,5656.19,"2022 - 23","Q2","Flu",
"Kensington/Windsor Terrace",11218,44,"11218","6 months - 17 years",8057,18182.03,"2022 - 23","Q2","Flu",
