"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,96,"10001, 10118","11 - 12 years",1,242,253.25,2024,"Q4","HPV",""
"Chinatown/Lower East Side",10002,49,"10002","11 - 12 years",1,678,1373.71,2024,"Q4","HPV",""
"East Village/Gramercy/Greenwich Village",10003,33,"10003","11 - 12 years",1,112,339.86,2024,"Q4","HPV",""
"Financial District",10004,70,"10004","11 - 12 years",1,20,28.6,2024,"Q4","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","11 - 12 years",1,50,48.95,2024,"Q4","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","11 - 12 years",1,46,24.32,2024,"Q4","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,61,"10007","11 - 12 years",1,62,102.17,2024,"Q4","HPV",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,38,"10009","11 - 12 years",1,306,810.3,2024,"Q4","HPV",""
"Flatiron/Gramercy/Kips Bay",10010,55,"10010","11 - 12 years",1,142,257.69,2024,"Q4","HPV",""
"Chelsea",10011,39,"10011","11 - 12 years",1,164,417.66,2024,"Q4","HPV",""
"Greenwich Village/SoHo",10012,27,"10012","11 - 12 years",1,60,223.79,2024,"Q4","HPV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,51,"10013","11 - 12 years",1,209,413.51,2024,"Q4","HPV",""
"Hudson Square/Meatpacking District/West Village",10014,27,"10014","11 - 12 years",1,64,234.62,2024,"Q4","HPV",""
"Kips Bay/Murray Hill/NoMad",10016,44,"10016","11 - 12 years",1,162,366.5,2024,"Q4","HPV",""
"East Midtown/Murray Hill",10017,99,"10017","11 - 12 years",1,290,92.2,2024,"Q4","HPV",""
"Hell's Kitchen/Midtown Manhattan",10018,72,"10018","11 - 12 years",1,32,44.42,2024,"Q4","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,89,"10019, 10020","11 - 12 years",1,282,317.81,2024,"Q4","HPV",""
"Lenox Hill/Upper East Side",10021,40,"10021","11 - 12 years",1,216,537.21,2024,"Q4","HPV",""
"East Midtown",10022,40,"10022","11 - 12 years",1,114,286.48,2024,"Q4","HPV",""
"Lincoln Square",10023,46,"10023","11 - 12 years",1,373,804.54,2024,"Q4","HPV",""
"Upper West Side",10024,39,"10024","11 - 12 years",1,410,1059.03,2024,"Q4","HPV",""
