"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,67,"10001, 10118","13 - 17 years",397,592.14,2020,"Q2","HPV",
"Chinatown/Lower East Side",10002,99,"10002","13 - 17 years",3738,2905.75,2020,"Q2","HPV",
"East Village/Gramercy/Greenwich Village",10003,76,"10003","13 - 17 years",692,905.17,2020,"Q2","HPV",
"Financial District",10004,99,"10004","13 - 17 years",88,84.26,2020,"Q2","HPV",
"Financial District",10005,95,"10005","13 - 17 years",74,77.76,2020,"Q2","HPV",
"Financial District",10006,76,"10006","13 - 17 years",41,53.91,2020,"Q2","HPV",
"TriBeCa",10007,99,"10007","13 - 17 years",250,192.91,2020,"Q2","HPV",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,70,"10009","13 - 17 years",1310,1876.15,2020,"Q2","HPV",
"Flatiron/Gramercy/Kips Bay",10010,79,"10010","13 - 17 years",456,573.95,2020,"Q2","HPV",
"Chelsea",10011,75,"10011","13 - 17 years",814,1086.49,2020,"Q2","HPV",
"Greenwich Village/SoHo",10012,67,"10012","13 - 17 years",325,487.27,2020,"Q2","HPV",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","13 - 17 years",953,880.03,2020,"Q2","HPV",
"Hudson Square/Meatpacking District/West Village",10014,62,"10014","13 - 17 years",380,615.8,2020,"Q2","HPV",
"Kips Bay/Murray Hill/NoMad",10016,86,"10016","13 - 17 years",676,781.7,2020,"Q2","HPV",
"East Midtown/Murray Hill",10017,97,"10017","13 - 17 years",198,203.38,2020,"Q2","HPV",
"Hell's Kitchen/Midtown Manhattan",10018,92,"10018","13 - 17 years",99,108.03,2020,"Q2","HPV",
"Hell's Kitchen/Midtown Manhattan",10019,67,"10019, 10020","13 - 17 years",485,721.05,2020,"Q2","HPV",
"Lenox Hill/Upper East Side",10021,87,"10021","13 - 17 years",1002,1147.84,2020,"Q2","HPV",
"East Midtown",10022,90,"10022","13 - 17 years",541,601.64,2020,"Q2","HPV",
"Lincoln Square",10023,67,"10023","13 - 17 years",1249,1876.65,2020,"Q2","HPV",
"Upper West Side",10024,60,"10024","13 - 17 years",1553,2573.57,2020,"Q2","HPV",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,64,"10025","13 - 17 years",2384,3724.49,2020,"Q2","HPV",
"Central Harlem (South)",10026,84,"10026","13 - 17 years",1425,1696.38,2020,"Q2","HPV",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,80,"10027","13 - 17 years",2227,2772,2020,"Q2","HPV",
"Upper East Side/Yorkville",10028,67,"10028","13 - 17 years",1243,1854.48,2020,"Q2","HPV",
"East Harlem",10029,95,"10029","13 - 17 years",3751,3935.13,2020,"Q2","HPV",
"Central Harlem (North)",10030,70,"10030","13 - 17 years",1189,1693.26,2020,"Q2","HPV",
"Hamilton Heights/West Harlem",10031,88,"10031","13 - 17 years",2349,2664.18,2020,"Q2","HPV",
"Washington Heights (South)",10032,99,"10032","13 - 17 years",2575,2595.62,2020,"Q2","HPV",
"Washington Heights (North)/Washington Heights (South)",10033,87,"10033","13 - 17 years",2249,2573.5,2020,"Q2","HPV",
"Inwood/Washington Heights (North)",10034,94,"10034","13 - 17 years",1776,1896.46,2020,"Q2","HPV",
"East Harlem",10035,89,"10035","13 - 17 years",1783,2001.29,2020,"Q2","HPV",
"Hell's Kitchen/Midtown Manhattan",10036,73,"10036","13 - 17 years",377,514.72,2020,"Q2","HPV",
"Central Harlem (North)/East Harlem",10037,97,"10037","13 - 17 years",801,827.89,2020,"Q2","HPV",
"Chinatown/Financial District",10038,90,"10038","13 - 17 years",566,630.71,2020,"Q2","HPV",
"Central Harlem (North)/Washington Heights (South)",10039,74,"10039","13 - 17 years",1325,1790.6,2020,"Q2","HPV",
"Washington Heights (North)",10040,90,"10040","13 - 17 years",1788,1979.62,2020,"Q2","HPV",
"Roosevelt Island",10044,43,"10044","13 - 17 years",223,524.56,2020,"Q2","HPV",
"Lenox Hill/Upper East Side",10065,86,"10065","13 - 17 years",644,750.26,2020,"Q2","HPV",
