"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,73,"10001, 10118","13 - 17 years","2 or 3",486,669.56,2022,"Q4","HPV",
"Chinatown/Lower East Side",10002,99,"10002","13 - 17 years","2 or 3",2981,3026.12,2022,"Q4","HPV",
"East Village/Gramercy/Greenwich Village",10003,62,"10003","13 - 17 years","2 or 3",565,915.33,2022,"Q4","HPV",
"Financial District",10004,99,"10004","13 - 17 years","2 or 3",116,73.47,2022,"Q4","HPV",
"Financial District",10005,99,"10005","13 - 17 years","2 or 3",100,80.88,2022,"Q4","HPV",
"Financial District",10006,87,"10006","13 - 17 years","2 or 3",57,65.76,2022,"Q4","HPV",
"TriBeCa",10007,99,"10007","13 - 17 years","2 or 3",266,206.96,2022,"Q4","HPV",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,66,"10009","13 - 17 years","2 or 3",1282,1949.69,2022,"Q4","HPV",
"Flatiron/Gramercy/Kips Bay",10010,98,"10010","13 - 17 years","2 or 3",570,580.44,2022,"Q4","HPV",
"Chelsea",10011,71,"10011","13 - 17 years","2 or 3",758,1074.59,2022,"Q4","HPV",
"Greenwich Village/SoHo",10012,62,"10012","13 - 17 years","2 or 3",321,521.28,2022,"Q4","HPV",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","13 - 17 years","2 or 3",892,878.52,2022,"Q4","HPV",
"Hudson Square/Meatpacking District/West Village",10014,59,"10014","13 - 17 years","2 or 3",368,625.67,2022,"Q4","HPV",
"Kips Bay/Murray Hill/NoMad",10016,91,"10016","13 - 17 years","2 or 3",720,792.39,2022,"Q4","HPV",
"East Midtown/Murray Hill",10017,99,"10017","13 - 17 years","2 or 3",228,220,2022,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","13 - 17 years","2 or 3",130,122.5,2022,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10019,81,"10019, 10020","13 - 17 years","2 or 3",636,783.47,2022,"Q4","HPV",
"Lenox Hill/Upper East Side",10021,87,"10021","13 - 17 years","2 or 3",988,1133.7,2022,"Q4","HPV",
"East Midtown",10022,91,"10022","13 - 17 years","2 or 3",592,647.34,2022,"Q4","HPV",
"Lincoln Square",10023,76,"10023","13 - 17 years","2 or 3",1488,1965.55,2022,"Q4","HPV",
