"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,72,"10001, 10118","13 - 17 years",427,592.14,2020,"Q4","HPV",
"Chinatown/Lower East Side",10002,99,"10002","13 - 17 years",3659,2905.75,2020,"Q4","HPV",
"East Village/Gramercy/Greenwich Village",10003,74,"10003","13 - 17 years",670,905.17,2020,"Q4","HPV",
"Financial District",10004,99,"10004","13 - 17 years",103,84.26,2020,"Q4","HPV",
"Financial District",10005,99,"10005","13 - 17 years",84,77.76,2020,"Q4","HPV",
"Financial District",10006,95,"10006","13 - 17 years",51,53.91,2020,"Q4","HPV",
"TriBeCa",10007,99,"10007","13 - 17 years",256,192.91,2020,"Q4","HPV",
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,71,"10009","13 - 17 years",1339,1876.15,2020,"Q4","HPV",
"Flatiron/Gramercy/Kips Bay",10010,86,"10010","13 - 17 years",494,573.95,2020,"Q4","HPV",
"Chelsea",10011,75,"10011","13 - 17 years",810,1086.49,2020,"Q4","HPV",
"Greenwich Village/SoHo",10012,67,"10012","13 - 17 years",328,487.27,2020,"Q4","HPV",
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","13 - 17 years",1016,880.03,2020,"Q4","HPV",
"Hudson Square/Meatpacking District/West Village",10014,63,"10014","13 - 17 years",385,615.8,2020,"Q4","HPV",
"Kips Bay/Murray Hill/NoMad",10016,91,"10016","13 - 17 years",711,781.7,2020,"Q4","HPV",
"East Midtown/Murray Hill",10017,95,"10017","13 - 17 years",193,203.38,2020,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10018,97,"10018","13 - 17 years",105,108.03,2020,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10019,74,"10019, 10020","13 - 17 years",536,721.05,2020,"Q4","HPV",
"Lenox Hill/Upper East Side",10021,92,"10021","13 - 17 years",1058,1147.84,2020,"Q4","HPV",
"East Midtown",10022,94,"10022","13 - 17 years",566,601.64,2020,"Q4","HPV",
"Lincoln Square",10023,71,"10023","13 - 17 years",1336,1876.65,2020,"Q4","HPV",
"Upper West Side",10024,64,"10024","13 - 17 years",1642,2573.57,2020,"Q4","HPV",
"Manhattan Valley/Morningside Heights/Upper West Side",10025,66,"10025","13 - 17 years",2460,3724.49,2020,"Q4","HPV",
"Central Harlem (South)",10026,83,"10026","13 - 17 years",1412,1696.38,2020,"Q4","HPV",
"Central Harlem (South)/Morningside Heights/West Harlem",10027,81,"10027","13 - 17 years",2255,2772,2020,"Q4","HPV",
"Upper East Side/Yorkville",10028,71,"10028","13 - 17 years",1315,1854.48,2020,"Q4","HPV",
"East Harlem",10029,94,"10029","13 - 17 years",3693,3935.13,2020,"Q4","HPV",
"Central Harlem (North)",10030,69,"10030","13 - 17 years",1169,1693.26,2020,"Q4","HPV",
"Hamilton Heights/West Harlem",10031,87,"10031","13 - 17 years",2324,2664.18,2020,"Q4","HPV",
"Washington Heights (South)",10032,96,"10032","13 - 17 years",2503,2595.62,2020,"Q4","HPV",
"Washington Heights (North)/Washington Heights (South)",10033,87,"10033","13 - 17 years",2230,2573.5,2020,"Q4","HPV",
"Inwood/Washington Heights (North)",10034,92,"10034","13 - 17 years",1753,1896.46,2020,"Q4","HPV",
"East Harlem",10035,90,"10035","13 - 17 years",1801,2001.29,2020,"Q4","HPV",
"Hell's Kitchen/Midtown Manhattan",10036,76,"10036","13 - 17 years",391,514.72,2020,"Q4","HPV",
"Central Harlem (North)/East Harlem",10037,99,"10037","13 - 17 years",826,827.89,2020,"Q4","HPV",
"Chinatown/Financial District",10038,99,"10038","13 - 17 years",623,630.71,2020,"Q4","HPV",
"Central Harlem (North)/Washington Heights (South)",10039,75,"10039","13 - 17 years",1344,1790.6,2020,"Q4","HPV",
"Washington Heights (North)",10040,89,"10040","13 - 17 years",1771,1979.62,2020,"Q4","HPV",
"Roosevelt Island",10044,43,"10044","13 - 17 years",227,524.56,2020,"Q4","HPV",
"Lenox Hill/Upper East Side",10065,87,"10065","13 - 17 years",654,750.26,2020,"Q4","HPV",
"Lincoln Square",10069,99,"10069","13 - 17 years",205,162.62,2020,"Q4","HPV",
"Lenox Hill/Upper East Side",10075,97,"10075, 10162","13 - 17 years",794,815.61,2020,"Q4","HPV",
"Upper East Side/Yorkville",10128,70,"10128","13 - 17 years",1657,2353.38,2020,"Q4","HPV",
"Battery Park City",10280,76,"10280","13 - 17 years",199,262.19,2020,"Q4","HPV",
"Battery Park City",10282,90,"10282","13 - 17 years",181,201.66,2020,"Q4","HPV",
"Silver Lake/St. George",10301,64,"10301","13 - 17 years",1493,2327.33,2020,"Q4","HPV",
"Elm Park",10302,66,"10302","13 - 17 years",913,1375.68,2020,"Q4","HPV",
"Graniteville/Mariner's Harbor/Port Ivory",10303,58,"10303","13 - 17 years",1287,2226.85,2020,"Q4","HPV",
"New Dorp/Todt Hill",10304,56,"10304","13 - 17 years",1637,2927.95,2020,"Q4","HPV",
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,42,"10305","13 - 17 years",1027,2429.45,2020,"Q4","HPV",
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,31,"10306","13 - 17 years",1061,3451.2,2020,"Q4","HPV",
"Tottenville",10307,22,"10307","13 - 17 years",249,1127.62,2020,"Q4","HPV",
"Great Kills",10308,25,"10308","13 - 17 years",468,1904.34,2020,"Q4","HPV",
"Charleston/Prince's Bay/Woodrow",10309,27,"10309","13 - 17 years",616,2253.54,2020,"Q4","HPV",
"Port Richmond/Randall Manor/West Brighton",10310,55,"10310","13 - 17 years",1086,1966.6,2020,"Q4","HPV",
"Annadale/Rossville",10312,25,"10312","13 - 17 years",1020,4033.19,2020,"Q4","HPV",
"Bloomfield/Freshkills Park",10314,34,"10314","13 - 17 years",1950,5661.21,2020,"Q4","HPV",
"Concourse/Melrose",10451,96,"10451","13 - 17 years",3326,3468.07,2020,"Q4","HPV",
"Concourse/Highbridge",10452,99,"10452","13 - 17 years",5785,5611.49,2020,"Q4","HPV",
"Morris Heights/Mount Hope/University Heights",10453,99,"10453","13 - 17 years",6057,5920.41,2020,"Q4","HPV",
"Mott Haven/Port Morris",10454,96,"10454","13 - 17 years",2975,3093.38,2020,"Q4","HPV",
"Mott Haven",10455,99,"10455","13 - 17 years",3213,3261.04,2020,"Q4","HPV",
"Claremont/Morrisania",10456,99,"10456","13 - 17 years",6770,6785.5,2020,"Q4","HPV",
"Belmont/Claremont/Mount Hope/Tremont",10457,95,"10457","13 - 17 years",5711,6002.91,2020,"Q4","HPV",
"Belmont/Fordham University/Kingsbridge",10458,97,"10458","13 - 17 years",5579,5746.69,2020,"Q4","HPV",
"Charlotte Gardens/Hunts Point",10459,91,"10459","13 - 17 years",3513,3839.77,2020,"Q4","HPV",
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,86,"10460","13 - 17 years",3863,4496.97,2020,"Q4","HPV",
"Morris Park/Pelham Bay/Westchester Square",10461,73,"10461","13 - 17 years",2062,2839.13,2020,"Q4","HPV",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,91,"10462","13 - 17 years",4000,4395.68,2020,"Q4","HPV",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,77,"10463","13 - 17 years",2786,3600.27,2020,"Q4","HPV",
"City Island",10464,99,"10464","13 - 17 years",403,256.64,2020,"Q4","HPV",
"Country Club/Throgs Neck",10465,50,"10465","13 - 17 years",1472,2917.83,2020,"Q4","HPV",
"Edenwald/Wakefield",10466,70,"10466","13 - 17 years",3586,5106.21,2020,"Q4","HPV",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,95,"10467","13 - 17 years",5909,6189.17,2020,"Q4","HPV",
"Fordham/Kingsbridge/University Heights",10468,90,"10468","13 - 17 years",4965,5500.02,2020,"Q4","HPV",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,63,"10469","13 - 17 years",3058,4848.71,2020,"Q4","HPV",
"Wakefield/Woodlawn",10470,66,"10470","13 - 17 years",563,855.18,2020,"Q4","HPV",
"Fieldston/North Riverdale/Riverdale",10471,65,"10471","13 - 17 years",599,927.05,2020,"Q4","HPV",
"Soundview",10472,99,"10472","13 - 17 years",4457,4354.92,2020,"Q4","HPV",
"Castle Hill/Clason Point/Soundview",10473,70,"10473","13 - 17 years",3103,4414.22,2020,"Q4","HPV",
"Hunts Point",10474,99,"10474","13 - 17 years",969,842.32,2020,"Q4","HPV",
"Co-op City/Edenwald",10475,60,"10475","13 - 17 years",1310,2170.97,2020,"Q4","HPV",
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","13 - 17 years",1375,1142.47,2020,"Q4","HPV",
"Astoria (South)/Long Island City/Sunnyside",11101,82,"11101","13 - 17 years",1112,1351.94,2020,"Q4","HPV",
