"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,40,"10001, 10118","13 years",55,138.66,2021,"Q2","HPV",""
"Chinatown/Lower East Side",10002,81,"10002","13 years",497,615.67,2021,"Q2","HPV",""
"East Village/Gramercy/Greenwich Village",10003,25,"10003","13 years",44,174.06,2021,"Q2","HPV",""
"Financial District",10004,0,"10004","13 years",,18.39,2021,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"Financial District",10005,99,"10005","13 years",15,13.21,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,0,"10006","13 years",,11.28,2021,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"TriBeCa",10007,71,"10007","13 years",27,37.94,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,37,"10009","13 years",150,403.76,2021,"Q2","HPV",""
"Flatiron/Gramercy/Kips Bay",10010,47,"10010","13 years",52,111.7,2021,"Q2","HPV",""
"Chelsea",10011,32,"10011","13 years",69,218.58,2021,"Q2","HPV",""
"Greenwich Village/SoHo",10012,43,"10012","13 years",40,92.13,2021,"Q2","HPV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,60,"10013","13 years",105,176.09,2021,"Q2","HPV",""
"Hudson Square/Meatpacking District/West Village",10014,16,"10014","13 years",20,122.1,2021,"Q2","HPV",""
"Kips Bay/Murray Hill/NoMad",10016,40,"10016","13 years",67,166.08,2021,"Q2","HPV",""
"East Midtown/Murray Hill",10017,56,"10017","13 years",24,42.79,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","13 years",26,23.45,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,47,"10019, 10020","13 years",66,141.85,2021,"Q2","HPV",""
"Lenox Hill/Upper East Side",10021,41,"10021","13 years",95,229.95,2021,"Q2","HPV",""
"East Midtown",10022,37,"10022","13 years",45,121.32,2021,"Q2","HPV",""
"Lincoln Square",10023,30,"10023","13 years",109,369.23,2021,"Q2","HPV",""
"Upper West Side",10024,26,"10024","13 years",138,523.4,2021,"Q2","HPV",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,35,"10025","13 years",266,750.85,2021,"Q2","HPV",""
"Central Harlem (South)",10026,45,"10026","13 years",171,382.2,2021,"Q2","HPV",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,58,"10027","13 years",347,597.27,2021,"Q2","HPV",""
"Upper East Side/Yorkville",10028,28,"10028","13 years",103,368.28,2021,"Q2","HPV",""
"East Harlem",10029,64,"10029","13 years",524,812.96,2021,"Q2","HPV",""
"Central Harlem (North)",10030,48,"10030","13 years",173,362.86,2021,"Q2","HPV",""
"Hamilton Heights/West Harlem",10031,54,"10031","13 years",315,580.1,2021,"Q2","HPV",""
"Washington Heights (South)",10032,62,"10032","13 years",341,554.2,2021,"Q2","HPV",""
"Washington Heights (North)/Washington Heights (South)",10033,63,"10033","13 years",338,533.67,2021,"Q2","HPV",""
"Inwood/Washington Heights (North)",10034,64,"10034","13 years",257,401.51,2021,"Q2","HPV",""
"East Harlem",10035,59,"10035","13 years",247,420.56,2021,"Q2","HPV",""
"Hell's Kitchen/Midtown Manhattan",10036,47,"10036","13 years",49,103.57,2021,"Q2","HPV",""
"Central Harlem (North)/East Harlem",10037,62,"10037","13 years",113,183.02,2021,"Q2","HPV",""
"Chinatown/Financial District",10038,61,"10038","13 years",82,133.55,2021,"Q2","HPV",""
"Central Harlem (North)/Washington Heights (South)",10039,53,"10039","13 years",195,365.58,2021,"Q2","HPV",""
"Washington Heights (North)",10040,56,"10040","13 years",240,428.29,2021,"Q2","HPV",""
"Roosevelt Island",10044,23,"10044","13 years",24,102.5,2021,"Q2","HPV",""
"Lenox Hill/Upper East Side",10065,38,"10065","13 years",60,159.73,2021,"Q2","HPV",""
"Lincoln Square",10069,46,"10069","13 years",16,34.9,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Lenox Hill/Upper East Side",10075,47,"10075, 10162","13 years",79,167.65,2021,"Q2","HPV",""
"Upper East Side/Yorkville",10128,30,"10128","13 years",146,482.22,2021,"Q2","HPV",""
"Battery Park City",10280,29,"10280","13 years",15,51.46,2021,"Q2","HPV",""
"Battery Park City",10282,56,"10282","13 years",22,39.32,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Silver Lake/St. George",10301,38,"10301","13 years",177,471.52,2021,"Q2","HPV",""
