"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,69,"10001, 10118","13 years",1,106,153.48,2021,"Q2","HPV",""
"Chinatown/Lower East Side",10002,99,"10002","13 years",1,673,625.51,2021,"Q2","HPV",""
"East Village/Gramercy/Greenwich Village",10003,73,"10003","13 years",1,125,171.02,2021,"Q2","HPV",""
"Financial District",10004,88,"10004","13 years",1,14,15.98,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","13 years",1,21,12.88,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,0,"10006","13 years",1,,13.93,2021,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"TriBeCa",10007,99,"10007","13 years",1,58,39.9,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,68,"10009","13 years",1,279,412.11,2021,"Q2","HPV",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","13 years",1,109,110.46,2021,"Q2","HPV",""
"Chelsea",10011,71,"10011","13 years",1,151,211.64,2021,"Q2","HPV",""
"Greenwich Village/SoHo",10012,62,"10012","13 years",1,60,96.28,2021,"Q2","HPV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","13 years",1,172,170.05,2021,"Q2","HPV",""
"Hudson Square/Meatpacking District/West Village",10014,56,"10014","13 years",1,68,121.6,2021,"Q2","HPV",""
"Kips Bay/Murray Hill/NoMad",10016,89,"10016","13 years",1,146,164.18,2021,"Q2","HPV",""
"East Midtown/Murray Hill",10017,99,"10017","13 years",1,55,44.26,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","13 years",1,37,28.17,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,91,"10019, 10020","13 years",1,137,150.78,2021,"Q2","HPV",""
"Lenox Hill/Upper East Side",10021,85,"10021","13 years",1,191,224.13,2021,"Q2","HPV",""
"East Midtown",10022,88,"10022","13 years",1,115,130.25,2021,"Q2","HPV",""
"Lincoln Square",10023,71,"10023","13 years",1,269,378.83,2021,"Q2","HPV",""
"Upper West Side",10024,67,"10024","13 years",1,353,528.04,2021,"Q2","HPV",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,70,"10025","13 years",1,508,730.44,2021,"Q2","HPV",""
"Central Harlem (South)",10026,78,"10026","13 years",1,283,364.16,2021,"Q2","HPV",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,93,"10027","13 years",1,550,591.2,2021,"Q2","HPV",""
"Upper East Side/Yorkville",10028,68,"10028","13 years",1,251,371.16,2021,"Q2","HPV",""
"East Harlem",10029,94,"10029","13 years",1,785,834.66,2021,"Q2","HPV",""
"Central Harlem (North)",10030,75,"10030","13 years",1,270,357.82,2021,"Q2","HPV",""
"Hamilton Heights/West Harlem",10031,80,"10031","13 years",1,476,594.12,2021,"Q2","HPV",""
"Washington Heights (South)",10032,93,"10032","13 years",1,496,531.83,2021,"Q2","HPV",""
"Washington Heights (North)/Washington Heights (South)",10033,93,"10033","13 years",1,471,505.21,2021,"Q2","HPV",""
"Inwood/Washington Heights (North)",10034,96,"10034","13 years",1,384,400.34,2021,"Q2","HPV",""
"East Harlem",10035,87,"10035","13 years",1,375,431.99,2021,"Q2","HPV",""
"Hell's Kitchen/Midtown Manhattan",10036,89,"10036","13 years",1,91,102.57,2021,"Q2","HPV",""
"Central Harlem (North)/East Harlem",10037,99,"10037","13 years",1,804,176.2,2021,"Q2","HPV",""
"Chinatown/Financial District",10038,92,"10038","13 years",1,126,136.36,2021,"Q2","HPV",""
"Central Harlem (North)/Washington Heights (South)",10039,81,"10039","13 years",1,309,380.29,2021,"Q2","HPV",""
"Washington Heights (North)",10040,85,"10040","13 years",1,368,431.21,2021,"Q2","HPV",""
"Roosevelt Island",10044,45,"10044","13 years",1,47,104.6,2021,"Q2","HPV",""
"Lenox Hill/Upper East Side",10065,80,"10065","13 years",1,129,162.04,2021,"Q2","HPV",""
"Lincoln Square",10069,99,"10069","13 years",1,45,38.97,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","13 years",1,183,167.92,2021,"Q2","HPV",""
"Upper East Side/Yorkville",10128,61,"10128","13 years",1,308,505.32,2021,"Q2","HPV",""
"Battery Park City",10280,83,"10280","13 years",1,42,50.72,2021,"Q2","HPV",""
"Battery Park City",10282,99,"10282","13 years",1,41,35.68,2021,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Silver Lake/St. George",10301,64,"10301","13 years",1,305,477.79,2021,"Q2","HPV",""
"Elm Park",10302,63,"10302","13 years",1,182,289.23,2021,"Q2","HPV",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,59,"10303","13 years",1,258,435.6,2021,"Q2","HPV",""
"New Dorp/Todt Hill",10304,59,"10304","13 years",1,351,592.13,2021,"Q2","HPV",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,36,"10305","13 years",1,179,490.93,2021,"Q2","HPV",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,23,"10306","13 years",1,165,729.43,2021,"Q2","HPV",""
"Tottenville",10307,18,"10307","13 years",1,39,222.4,2021,"Q2","HPV",""
"Great Kills",10308,18,"10308","13 years",1,71,388.41,2021,"Q2","HPV",""
"Charleston/Prince's Bay/Woodrow",10309,21,"10309","13 years",1,95,453.75,2021,"Q2","HPV",""
"Port Richmond/Randall Manor/West Brighton",10310,51,"10310","13 years",1,192,375.44,2021,"Q2","HPV",""
"Annadale/Rossville",10312,18,"10312","13 years",1,149,808.92,2021,"Q2","HPV",""
"Bloomfield/Freshkills Park",10314,32,"10314","13 years",1,358,1124.08,2021,"Q2","HPV",""
"Concourse/Melrose",10451,99,"10451","13 years",1,740,638.15,2021,"Q2","HPV",""
"Concourse/Highbridge",10452,99,"10452","13 years",1,1195,1154.12,2021,"Q2","HPV",""
"Morris Heights/Mount Hope/University Heights",10453,99,"10453","13 years",1,1265,1201.21,2021,"Q2","HPV",""
"Mott Haven/Port Morris",10454,99,"10454","13 years",1,657,619.62,2021,"Q2","HPV",""
"Mott Haven",10455,99,"10455","13 years",1,684,664.19,2021,"Q2","HPV",""
"Claremont/Morrisania",10456,99,"10456","13 years",1,1442,1340.61,2021,"Q2","HPV",""
"Belmont/Claremont/Mount Hope/Tremont",10457,99,"10457","13 years",1,1272,1218.18,2021,"Q2","HPV",""
"Belmont/Fordham University/Kingsbridge",10458,99,"10458","13 years",1,1162,1129.63,2021,"Q2","HPV",""
"Charlotte Gardens/Hunts Point",10459,99,"10459","13 years",1,822,760.87,2021,"Q2","HPV",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,89,"10460","13 years",1,845,946.28,2021,"Q2","HPV",""
"Morris Park/Pelham Bay/Westchester Square",10461,75,"10461","13 years",1,442,593.27,2021,"Q2","HPV",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,96,"10462","13 years",1,861,894.9,2021,"Q2","HPV",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,90,"10463","13 years",1,639,706.58,2021,"Q2","HPV",""
"City Island",10464,99,"10464","13 years",1,102,60.68,2021,"Q2","HPV",""
"Country Club/Throgs Neck",10465,50,"10465","13 years",1,312,618.66,2021,"Q2","HPV",""
"Edenwald/Wakefield",10466,74,"10466","13 years",1,767,1036.73,2021,"Q2","HPV",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,99,"10467","13 years",1,1229,1227.98,2021,"Q2","HPV",""
"Fordham/Kingsbridge/University Heights",10468,99,"10468","13 years",1,1121,1107.49,2021,"Q2","HPV",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,77,"10469","13 years",1,711,923.55,2021,"Q2","HPV",""
"Wakefield/Woodlawn",10470,71,"10470","13 years",1,126,177.33,2021,"Q2","HPV",""
"Fieldston/North Riverdale/Riverdale",10471,60,"10471","13 years",1,118,196.18,2021,"Q2","HPV",""
"Soundview",10472,99,"10472","13 years",1,989,865.17,2021,"Q2","HPV",""
"Castle Hill/Clason Point/Soundview",10473,77,"10473","13 years",1,678,877.89,2021,"Q2","HPV",""
"Hunts Point",10474,99,"10474","13 years",1,203,182.35,2021,"Q2","HPV",""
"Co-op City/Edenwald",10475,66,"10475","13 years",1,288,436.52,2021,"Q2","HPV",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","13 years",1,316,227.46,2021,"Q2","HPV",""
"Astoria (South)/Long Island City/Sunnyside",11101,69,"11101","13 years",1,218,317.34,2021,"Q2","HPV",""
"Astoria (North)",11102,80,"11102","13 years",1,209,260.75,2021,"Q2","HPV",""
