"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,54,"10001, 10118","13 years","2 or 3",83,153.56,2026,"Q2","HPV",""
"Chinatown/Lower East Side",10002,43,"10002","13 years","2 or 3",277,650.6,2026,"Q2","HPV",""
"East Village/Gramercy/Greenwich Village",10003,22,"10003","13 years","2 or 3",37,167.78,2026,"Q2","HPV",""
"Financial District",10004,0,"10004","13 years","2 or 3",,15.76,2026,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"Financial District",10005,99,"10005","13 years","2 or 3",14,12.83,2026,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,0,"10006","13 years","2 or 3",,13.87,2026,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"TriBeCa",10007,48,"10007","13 years","2 or 3",19,39.79,2026,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,31,"10009","13 years","2 or 3",127,412.16,2026,"Q2","HPV",""
"Flatiron/Gramercy/Kips Bay",10010,54,"10010","13 years","2 or 3",59,108.37,2026,"Q2","HPV",""
"Chelsea",10011,26,"10011","13 years","2 or 3",53,207.22,2026,"Q2","HPV",""
"Greenwich Village/SoHo",10012,20,"10012","13 years","2 or 3",19,97.08,2026,"Q2","HPV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,48,"10013","13 years","2 or 3",85,175.32,2026,"Q2","HPV",""
"Hudson Square/Meatpacking District/West Village",10014,20,"10014","13 years","2 or 3",23,116.7,2026,"Q2","HPV",""
"Kips Bay/Murray Hill/NoMad",10016,30,"10016","13 years","2 or 3",49,164.78,2026,"Q2","HPV",""
"East Midtown/Murray Hill",10017,99,"10017","13 years","2 or 3",57,44.38,2026,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
