"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,40,"10001, 10118","13 years",54,135.33,2024,"Q2","HPV",""
"Chinatown/Lower East Side",10002,56,"10002","13 years",347,615.45,2024,"Q2","HPV",""
"East Village/Gramercy/Greenwich Village",10003,26,"10003","13 years",43,167.22,2024,"Q2","HPV",""
"Financial District",10004,62,"10004","13 years",11,17.82,2024,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","13 years",15,12.87,2024,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,0,"10006","13 years",,10.91,2024,"Q2","HPV","Neighborhood areas with counts of less than 10 are suppressed"
"TriBeCa",10007,84,"10007","13 years",31,36.74,2024,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,32,"10009","13 years",124,393.36,2024,"Q2","HPV",""
"Flatiron/Gramercy/Kips Bay",10010,37,"10010","13 years",40,107.71,2024,"Q2","HPV",""
"Chelsea",10011,30,"10011","13 years",62,209.6,2024,"Q2","HPV",""
"Greenwich Village/SoHo",10012,26,"10012","13 years",23,90.19,2024,"Q2","HPV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,60,"10013","13 years",104,174.6,2024,"Q2","HPV",""
"Hudson Square/Meatpacking District/West Village",10014,21,"10014","13 years",24,116.09,2024,"Q2","HPV",""
"Kips Bay/Murray Hill/NoMad",10016,39,"10016","13 years",63,162.28,2024,"Q2","HPV",""
"East Midtown/Murray Hill",10017,81,"10017","13 years",34,42.1,2024,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10018,64,"10018","13 years",15,23.55,2024,"Q2","HPV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,55,"10019, 10020","13 years",76,137.96,2024,"Q2","HPV",""
"Lenox Hill/Upper East Side",10021,38,"10021","13 years",83,218.88,2024,"Q2","HPV",""
"East Midtown",10022,46,"10022","13 years",54,116.82,2024,"Q2","HPV",""
"Lincoln Square",10023,35,"10023","13 years",123,353.35,2024,"Q2","HPV",""
"Upper West Side",10024,27,"10024","13 years",136,497.6,2024,"Q2","HPV",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,37,"10025","13 years",266,718.55,2024,"Q2","HPV",""
"Central Harlem (South)",10026,45,"10026","13 years",163,364.19,2024,"Q2","HPV",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,47,"10027","13 years",270,571.16,2024,"Q2","HPV",""
"Upper East Side/Yorkville",10028,26,"10028","13 years",90,349.92,2024,"Q2","HPV",""
"East Harlem",10029,64,"10029","13 years",500,786.76,2024,"Q2","HPV",""
