"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",146,108.94,2022,"Q4","HepB",""
"Chinatown/Lower East Side",10002,82,"10002","24 - 35 months",416,509.82,2022,"Q4","HepB",""
"East Village/Gramercy/Greenwich Village",10003,85,"10003","24 - 35 months",192,225.16,2022,"Q4","HepB",""
"Financial District",10004,99,"10004","24 - 35 months",41,38.24,2022,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",62,50.1,2022,"Q4","HepB",""
"Financial District",10006,99,"10006","24 - 35 months",37,21.18,2022,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",111,108.22,2022,"Q4","HepB",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,94,"10009","24 - 35 months",300,319.23,2022,"Q4","HepB",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",212,180.16,2022,"Q4","HepB",""
"Chelsea",10011,98,"10011","24 - 35 months",291,295.99,2022,"Q4","HepB",""
"Greenwich Village/SoHo",10012,88,"10012","24 - 35 months",105,119.35,2022,"Q4","HepB",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,91,"10013","24 - 35 months",238,260.94,2022,"Q4","HepB",""
"Hudson Square/Meatpacking District/West Village",10014,93,"10014","24 - 35 months",143,153.46,2022,"Q4","HepB",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",366,315.91,2022,"Q4","HepB",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",97,79.23,2022,"Q4","HepB",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",54,42.3,2022,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",338,248.3,2022,"Q4","HepB",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",411,329.66,2022,"Q4","HepB",""
"East Midtown",10022,99,"10022","24 - 35 months",257,208.1,2022,"Q4","HepB",""
"Lincoln Square",10023,94,"10023","24 - 35 months",564,598.26,2022,"Q4","HepB",""
"Upper West Side",10024,82,"10024","24 - 35 months",463,567.12,2022,"Q4","HepB",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,94,"10025","24 - 35 months",657,700.47,2022,"Q4","HepB",""
"Central Harlem (South)",10026,72,"10026","24 - 35 months",285,396.46,2022,"Q4","HepB",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,68,"10027","24 - 35 months",396,579.19,2022,"Q4","HepB",""
"Upper East Side/Yorkville",10028,97,"10028","24 - 35 months",321,332.5,2022,"Q4","HepB",""
"East Harlem",10029,87,"10029","24 - 35 months",629,726.81,2022,"Q4","HepB",""
"Central Harlem (North)",10030,71,"10030","24 - 35 months",251,353.22,2022,"Q4","HepB",""
"Hamilton Heights/West Harlem",10031,88,"10031","24 - 35 months",441,499.71,2022,"Q4","HepB",""
"Washington Heights (South)",10032,82,"10032","24 - 35 months",408,495.1,2022,"Q4","HepB",""
"Washington Heights (North)/Washington Heights (South)",10033,84,"10033","24 - 35 months",435,517.97,2022,"Q4","HepB",""
