"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",196,104.1,2023,"Q4","HepB",""
"Chinatown/Lower East Side",10002,72,"10002","24 - 35 months",347,479.54,2023,"Q4","HepB",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",253,214.48,2023,"Q4","HepB",""
"Financial District",10004,99,"10004","24 - 35 months",39,36.15,2023,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",81,47.51,2023,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",56,20.25,2023,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",105,103.37,2023,"Q4","HepB",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,89,"10009","24 - 35 months",272,306.78,2023,"Q4","HepB",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",225,171.38,2023,"Q4","HepB",""
"Chelsea",10011,99,"10011","24 - 35 months",291,284.31,2023,"Q4","HepB",""
"Greenwich Village/SoHo",10012,96,"10012","24 - 35 months",109,113.85,2023,"Q4","HepB",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",301,247.54,2023,"Q4","HepB",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",166,147.55,2023,"Q4","HepB",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",392,299.62,2023,"Q4","HepB",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",147,74.86,2023,"Q4","HepB",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",63,39.98,2023,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",370,235.96,2023,"Q4","HepB",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",421,315.32,2023,"Q4","HepB",""
"East Midtown",10022,99,"10022","24 - 35 months",235,198.48,2023,"Q4","HepB",""
"Lincoln Square",10023,99,"10023","24 - 35 months",609,569.32,2023,"Q4","HepB",""
"Upper West Side",10024,99,"10024","24 - 35 months",553,545.26,2023,"Q4","HepB",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,99,"10025","24 - 35 months",666,672.95,2023,"Q4","HepB",""
"Central Harlem (South)",10026,80,"10026","24 - 35 months",307,382.16,2023,"Q4","HepB",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,82,"10027","24 - 35 months",458,558.21,2023,"Q4","HepB",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",372,318.16,2023,"Q4","HepB",""
"East Harlem",10029,99,"10029","24 - 35 months",748,700.4,2023,"Q4","HepB",""
"Central Harlem (North)",10030,71,"10030","24 - 35 months",243,341.63,2023,"Q4","HepB",""
"Hamilton Heights/West Harlem",10031,93,"10031","24 - 35 months",451,485.02,2023,"Q4","HepB",""
"Washington Heights (South)",10032,94,"10032","24 - 35 months",453,480.68,2023,"Q4","HepB",""
"Washington Heights (North)/Washington Heights (South)",10033,94,"10033","24 - 35 months",474,503.59,2023,"Q4","HepB",""
"Inwood/Washington Heights (North)",10034,96,"10034","24 - 35 months",337,351.86,2023,"Q4","HepB",""
"East Harlem",10035,83,"10035","24 - 35 months",295,357.51,2023,"Q4","HepB",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",260,155.19,2023,"Q4","HepB",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",197,165.43,2023,"Q4","HepB",""
"Chinatown/Financial District",10038,99,"10038","24 - 35 months",134,133.15,2023,"Q4","HepB",""
"Central Harlem (North)/Washington Heights (South)",10039,82,"10039","24 - 35 months",264,323.53,2023,"Q4","HepB",""
"Washington Heights (North)",10040,99,"10040","24 - 35 months",367,367.63,2023,"Q4","HepB",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",131,97.1,2023,"Q4","HepB",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",399,241.51,2023,"Q4","HepB",""
"Lincoln Square",10069,99,"10069","24 - 35 months",113,53.05,2023,"Q4","HepB",""
