"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",3,224,115.7,2024,"Q4","HepB",""
"Chinatown/Lower East Side",10002,79,"10002","24 - 35 months",3,389,491.86,2024,"Q4","HepB",""
"East Village/Gramercy/Greenwich Village",10003,94,"10003","24 - 35 months",3,202,214.44,2024,"Q4","HepB",""
"Financial District",10004,99,"10004","24 - 35 months",3,50,30.46,2024,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",3,87,49.62,2024,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",3,40,23.33,2024,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",3,119,111.64,2024,"Q4","HepB",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,94,"10009","24 - 35 months",3,298,317.15,2024,"Q4","HepB",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",3,225,169.73,2024,"Q4","HepB",""
"Chelsea",10011,85,"10011","24 - 35 months",3,237,278.7,2024,"Q4","HepB",""
"Greenwich Village/SoHo",10012,89,"10012","24 - 35 months",3,105,118.55,2024,"Q4","HepB",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",3,252,235.44,2024,"Q4","HepB",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",3,151,148.51,2024,"Q4","HepB",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",3,343,295.89,2024,"Q4","HepB",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",3,185,78.48,2024,"Q4","HepB",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",3,64,41.27,2024,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",3,394,249.17,2024,"Q4","HepB",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",3,369,308.41,2024,"Q4","HepB",""
"East Midtown",10022,99,"10022","24 - 35 months",3,259,211.42,2024,"Q4","HepB",""
"Lincoln Square",10023,91,"10023","24 - 35 months",3,545,595.97,2024,"Q4","HepB",""
"Upper West Side",10024,93,"10024","24 - 35 months",3,510,547.69,2024,"Q4","HepB",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,99,"10025","24 - 35 months",3,676,664.55,2024,"Q4","HepB",""
"Central Harlem (South)",10026,72,"10026","24 - 35 months",3,276,383.09,2024,"Q4","HepB",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,82,"10027","24 - 35 months",3,466,570.32,2024,"Q4","HepB",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",3,361,318.85,2024,"Q4","HepB",""
"East Harlem",10029,94,"10029","24 - 35 months",3,696,740.35,2024,"Q4","HepB",""
"Central Harlem (North)",10030,64,"10030","24 - 35 months",3,226,351.61,2024,"Q4","HepB",""
"Hamilton Heights/West Harlem",10031,80,"10031","24 - 35 months",3,412,515.97,2024,"Q4","HepB",""
"Washington Heights (South)",10032,92,"10032","24 - 35 months",3,439,479.52,2024,"Q4","HepB",""
"Washington Heights (North)/Washington Heights (South)",10033,91,"10033","24 - 35 months",3,458,502.22,2024,"Q4","HepB",""
"Inwood/Washington Heights (North)",10034,97,"10034","24 - 35 months",3,351,362.58,2024,"Q4","HepB",""
"East Harlem",10035,69,"10035","24 - 35 months",3,262,381.29,2024,"Q4","HepB",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",3,241,155.62,2024,"Q4","HepB",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",3,215,167.34,2024,"Q4","HepB",""
"Chinatown/Financial District",10038,93,"10038","24 - 35 months",3,128,137.2,2024,"Q4","HepB",""
"Central Harlem (North)/Washington Heights (South)",10039,54,"10039","24 - 35 months",3,187,348.79,2024,"Q4","HepB",""
"Washington Heights (North)",10040,89,"10040","24 - 35 months",3,344,386.85,2024,"Q4","HepB",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",3,147,97.48,2024,"Q4","HepB",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",3,332,246.14,2024,"Q4","HepB",""
"Lincoln Square",10069,99,"10069","24 - 35 months",3,92,61.58,2024,"Q4","HepB",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",3,257,180.1,2024,"Q4","HepB",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",3,519,443.68,2024,"Q4","HepB",""
"Battery Park City",10280,59,"10280","24 - 35 months",3,79,134.74,2024,"Q4","HepB",""
"Battery Park City",10282,99,"10282","24 - 35 months",3,122,116.84,2024,"Q4","HepB",""
"Silver Lake/St. George",10301,99,"10301","24 - 35 months",3,393,390.6,2024,"Q4","HepB",""
"Elm Park",10302,97,"10302","24 - 35 months",3,237,244,2024,"Q4","HepB",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,82,"10303","24 - 35 months",3,262,319.1,2024,"Q4","HepB",""
"New Dorp/Todt Hill",10304,83,"10304","24 - 35 months",3,393,474.05,2024,"Q4","HepB",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,91,"10305","24 - 35 months",3,378,417.59,2024,"Q4","HepB",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,82,"10306","24 - 35 months",3,456,554.92,2024,"Q4","HepB",""
"Tottenville",10307,70,"10307","24 - 35 months",3,99,141.45,2024,"Q4","HepB",""
"Great Kills",10308,84,"10308","24 - 35 months",3,239,282.9,2024,"Q4","HepB",""
"Charleston/Prince's Bay/Woodrow",10309,70,"10309","24 - 35 months",3,244,349.71,2024,"Q4","HepB",""
"Port Richmond/Randall Manor/West Brighton",10310,94,"10310","24 - 35 months",3,279,298.22,2024,"Q4","HepB",""
"Annadale/Rossville",10312,79,"10312","24 - 35 months",3,464,589.56,2024,"Q4","HepB",""
"Bloomfield/Freshkills Park",10314,85,"10314","24 - 35 months",3,783,917.08,2024,"Q4","HepB",""
"Concourse/Melrose",10451,99,"10451","24 - 35 months",3,600,574.64,2024,"Q4","HepB",""
"Concourse/Highbridge",10452,88,"10452","24 - 35 months",3,917,1041.22,2024,"Q4","HepB",""
"Morris Heights/Mount Hope/University Heights",10453,95,"10453","24 - 35 months",3,996,1049.75,2024,"Q4","HepB",""
"Mott Haven/Port Morris",10454,89,"10454","24 - 35 months",3,467,525.43,2024,"Q4","HepB",""
"Mott Haven",10455,99,"10455","24 - 35 months",3,571,540.21,2024,"Q4","HepB",""
"Claremont/Morrisania",10456,92,"10456","24 - 35 months",3,1066,1159.8,2024,"Q4","HepB",""
"Belmont/Claremont/Mount Hope/Tremont",10457,93,"10457","24 - 35 months",3,1018,1098.88,2024,"Q4","HepB",""
"Belmont/Fordham University/Kingsbridge",10458,88,"10458","24 - 35 months",3,905,1033.11,2024,"Q4","HepB",""
"Charlotte Gardens/Hunts Point",10459,84,"10459","24 - 35 months",3,580,693.52,2024,"Q4","HepB",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,96,"10460","24 - 35 months",3,775,808.7,2024,"Q4","HepB",""
"Morris Park/Pelham Bay/Westchester Square",10461,99,"10461","24 - 35 months",3,585,570.05,2024,"Q4","HepB",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,99,"10462","24 - 35 months",3,1023,892.77,2024,"Q4","HepB",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,95,"10463","24 - 35 months",3,720,759.09,2024,"Q4","HepB",""
"City Island",10464,99,"10464","24 - 35 months",3,85,32.86,2024,"Q4","HepB","Vaccination rate should be interpreted with caution due to small population estimate"
"Country Club/Throgs Neck",10465,86,"10465","24 - 35 months",3,414,479.09,2024,"Q4","HepB",""
"Edenwald/Wakefield",10466,85,"10466","24 - 35 months",3,664,778.12,2024,"Q4","HepB",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,99,"10467","24 - 35 months",3,1218,1180.74,2024,"Q4","HepB",""
"Fordham/Kingsbridge/University Heights",10468,87,"10468","24 - 35 months",3,901,1034.37,2024,"Q4","HepB",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,89,"10469","24 - 35 months",3,649,730.06,2024,"Q4","HepB",""
"Wakefield/Woodlawn",10470,99,"10470","24 - 35 months",3,192,173.9,2024,"Q4","HepB",""
"Fieldston/North Riverdale/Riverdale",10471,87,"10471","24 - 35 months",3,202,232.23,2024,"Q4","HepB",""
"Soundview",10472,99,"10472","24 - 35 months",3,905,791.42,2024,"Q4","HepB",""
"Castle Hill/Clason Point/Soundview",10473,99,"10473","24 - 35 months",3,569,556.92,2024,"Q4","HepB",""
"Hunts Point",10474,99,"10474","24 - 35 months",3,168,154.08,2024,"Q4","HepB",""
"Co-op City/Edenwald",10475,99,"10475","24 - 35 months",3,298,289.89,2024,"Q4","HepB",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","24 - 35 months",3,243,148.48,2024,"Q4","HepB",""
"Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","24 - 35 months",3,785,367.72,2024,"Q4","HepB",""
"Astoria (North)",11102,99,"11102","24 - 35 months",3,324,227.58,2024,"Q4","HepB",""
"Astoria (North)/Astoria (South)",11103,97,"11103","24 - 35 months",3,263,271.42,2024,"Q4","HepB",""
"Sunnyside",11104,92,"11104","24 - 35 months",3,223,242.43,2024,"Q4","HepB",""
"Ditmars Steinway",11105,99,"11105","24 - 35 months",3,301,295.83,2024,"Q4","HepB",""
