"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",167,132.65,2020,"Q4","Hib",""
"Chinatown/Lower East Side",10002,79,"10002","24 - 35 months",486,613.95,2020,"Q4","Hib",""
"East Village/Gramercy/Greenwich Village",10003,80,"10003","24 - 35 months",225,282.78,2020,"Q4","Hib",""
"Financial District",10004,99,"10004","24 - 35 months",56,48.44,2020,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",76,63.23,2020,"Q4","Hib",""
"Financial District",10006,99,"10006","24 - 35 months",34,27.06,2020,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,88,"10007","24 - 35 months",122,138.02,2020,"Q4","Hib",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,92,"10009","24 - 35 months",352,380.97,2020,"Q4","Hib",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",231,222.4,2020,"Q4","Hib",""
"Chelsea",10011,70,"10011","24 - 35 months",256,368.1,2020,"Q4","Hib",""
"Greenwich Village/SoHo",10012,67,"10012","24 - 35 months",101,150.75,2020,"Q4","Hib",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,83,"10013","24 - 35 months",274,330.71,2020,"Q4","Hib",""
"Hudson Square/Meatpacking District/West Village",10014,66,"10014","24 - 35 months",127,193.5,2020,"Q4","Hib",""
"Kips Bay/Murray Hill/NoMad",10016,98,"10016","24 - 35 months",383,391.05,2020,"Q4","Hib",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",103,100.06,2020,"Q4","Hib",""
"Hell's Kitchen/Midtown Manhattan",10018,94,"10018","24 - 35 months",49,51.97,2020,"Q4","Hib",""
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",305,308.46,2020,"Q4","Hib",""
"Lenox Hill/Upper East Side",10021,82,"10021","24 - 35 months",348,422.49,2020,"Q4","Hib",""
"East Midtown",10022,97,"10022","24 - 35 months",255,263.74,2020,"Q4","Hib",""
"Lincoln Square",10023,77,"10023","24 - 35 months",581,755.16,2020,"Q4","Hib",""
