"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months","3 or 4",157,116.61,2023,"Q4","Hib",""
"Chinatown/Lower East Side",10002,58,"10002","24 - 35 months","3 or 4",289,499.86,2023,"Q4","Hib",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months","3 or 4",225,215.86,2023,"Q4","Hib",""
"Financial District",10004,94,"10004","24 - 35 months","3 or 4",29,30.84,2023,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months","3 or 4",61,50.07,2023,"Q4","Hib",""
"Financial District",10006,99,"10006","24 - 35 months","3 or 4",44,23.48,2023,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,80,"10007","24 - 35 months","3 or 4",90,112.08,2023,"Q4","Hib",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,73,"10009","24 - 35 months","3 or 4",232,318.16,2023,"Q4","Hib",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months","3 or 4",193,171.28,2023,"Q4","Hib",""
"Chelsea",10011,88,"10011","24 - 35 months","3 or 4",247,279.64,2023,"Q4","Hib",""
"Greenwich Village/SoHo",10012,84,"10012","24 - 35 months","3 or 4",100,119.57,2023,"Q4","Hib",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months","3 or 4",268,237.53,2023,"Q4","Hib",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months","3 or 4",151,148.88,2023,"Q4","Hib",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months","3 or 4",312,299.54,2023,"Q4","Hib",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months","3 or 4",99,79.25,2023,"Q4","Hib",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months","3 or 4",48,41.79,2023,"Q4","Hib","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months","3 or 4",293,251.18,2023,"Q4","Hib",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months","3 or 4",359,310.01,2023,"Q4","Hib",""
"East Midtown",10022,99,"10022","24 - 35 months","3 or 4",215,212.64,2023,"Q4","Hib",""
"Lincoln Square",10023,85,"10023","24 - 35 months","3 or 4",512,601.9,2023,"Q4","Hib",""
"Upper West Side",10024,86,"10024","24 - 35 months","3 or 4",472,548.5,2023,"Q4","Hib",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,87,"10025","24 - 35 months","3 or 4",577,666.23,2023,"Q4","Hib",""
"Central Harlem (South)",10026,65,"10026","24 - 35 months","3 or 4",252,385.28,2023,"Q4","Hib",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,66,"10027","24 - 35 months","3 or 4",376,573.92,2023,"Q4","Hib",""
"Upper East Side/Yorkville",10028,97,"10028","24 - 35 months","3 or 4",311,320.07,2023,"Q4","Hib",""
"East Harlem",10029,80,"10029","24 - 35 months","3 or 4",595,744.67,2023,"Q4","Hib",""
"Central Harlem (North)",10030,56,"10030","24 - 35 months","3 or 4",199,353.8,2023,"Q4","Hib",""
"Hamilton Heights/West Harlem",10031,74,"10031","24 - 35 months","3 or 4",383,515.75,2023,"Q4","Hib",""
"Washington Heights (South)",10032,81,"10032","24 - 35 months","3 or 4",389,478.41,2023,"Q4","Hib",""
"Washington Heights (North)/Washington Heights (South)",10033,82,"10033","24 - 35 months","3 or 4",411,500.25,2023,"Q4","Hib",""
"Inwood/Washington Heights (North)",10034,80,"10034","24 - 35 months","3 or 4",290,360.92,2023,"Q4","Hib",""
"East Harlem",10035,64,"10035","24 - 35 months","3 or 4",244,382.2,2023,"Q4","Hib",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months","3 or 4",184,156.69,2023,"Q4","Hib",""
"Central Harlem (North)/East Harlem",10037,86,"10037","24 - 35 months","3 or 4",144,168.37,2023,"Q4","Hib",""
"Chinatown/Financial District",10038,84,"10038","24 - 35 months","3 or 4",116,138.69,2023,"Q4","Hib",""
"Central Harlem (North)/Washington Heights (South)",10039,60,"10039","24 - 35 months","3 or 4",209,350.61,2023,"Q4","Hib",""
"Washington Heights (North)",10040,83,"10040","24 - 35 months","3 or 4",319,384.63,2023,"Q4","Hib",""
"Roosevelt Island",10044,99,"10044","24 - 35 months","3 or 4",112,99.98,2023,"Q4","Hib",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months","3 or 4",323,248.21,2023,"Q4","Hib",""
"Lincoln Square",10069,99,"10069","24 - 35 months","3 or 4",92,62.75,2023,"Q4","Hib",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months","3 or 4",226,180.71,2023,"Q4","Hib",""
