"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",1,186,125.36,2021,"Q2","MMR",""
"Chinatown/Lower East Side",10002,93,"10002","24 - 35 months",1,510,549.58,2021,"Q2","MMR",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",1,278,236.5,2021,"Q2","MMR",""
"Financial District",10004,99,"10004","24 - 35 months",1,54,34.06,2021,"Q2","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",1,67,55.33,2021,"Q2","MMR",""
"Financial District",10006,99,"10006","24 - 35 months",1,36,25.76,2021,"Q2","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",1,130,122.02,2021,"Q2","MMR",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,99,"10009","24 - 35 months",1,383,337.2,2021,"Q2","MMR",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",1,232,186.4,2021,"Q2","MMR",""
"Chelsea",10011,99,"10011","24 - 35 months",1,302,301.43,2021,"Q2","MMR",""
"Greenwich Village/SoHo",10012,90,"10012","24 - 35 months",1,117,130.5,2021,"Q2","MMR",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",1,270,262.61,2021,"Q2","MMR",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",1,163,160.18,2021,"Q2","MMR",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",1,428,330.45,2021,"Q2","MMR",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",1,133,87.53,2021,"Q2","MMR",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",1,71,45.8,2021,"Q2","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",1,361,274.57,2021,"Q2","MMR",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",1,390,338.12,2021,"Q2","MMR",""
"East Midtown",10022,99,"10022","24 - 35 months",1,271,232.58,2021,"Q2","MMR",""
"Lincoln Square",10023,96,"10023","24 - 35 months",1,637,662.03,2021,"Q2","MMR",""
"Upper West Side",10024,97,"10024","24 - 35 months",1,573,590.74,2021,"Q2","MMR",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,99,"10025","24 - 35 months",1,704,712.12,2021,"Q2","MMR",""
"Central Harlem (South)",10026,80,"10026","24 - 35 months",1,322,400.42,2021,"Q2","MMR",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,79,"10027","24 - 35 months",1,469,596.66,2021,"Q2","MMR",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",1,344,347.83,2021,"Q2","MMR",""
"East Harlem",10029,89,"10029","24 - 35 months",1,684,772.72,2021,"Q2","MMR",""
"Central Harlem (North)",10030,72,"10030","24 - 35 months",1,261,361.92,2021,"Q2","MMR",""
"Hamilton Heights/West Harlem",10031,81,"10031","24 - 35 months",1,428,527.54,2021,"Q2","MMR",""
"Washington Heights (South)",10032,92,"10032","24 - 35 months",1,452,491.12,2021,"Q2","MMR",""
"Washington Heights (North)/Washington Heights (South)",10033,94,"10033","24 - 35 months",1,486,516.61,2021,"Q2","MMR",""
"Inwood/Washington Heights (North)",10034,95,"10034","24 - 35 months",1,350,369.62,2021,"Q2","MMR",""
"East Harlem",10035,82,"10035","24 - 35 months",1,322,390.6,2021,"Q2","MMR",""
"Hell's Kitchen/Midtown Manhattan",10036,84,"10036","24 - 35 months",1,141,168.44,2021,"Q2","MMR",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",1,211,173,2021,"Q2","MMR",""
"Chinatown/Financial District",10038,99,"10038","24 - 35 months",1,159,150.08,2021,"Q2","MMR",""
