"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",1,161,119.64,2022,"Q4","MMR",""
"Chinatown/Lower East Side",10002,83,"10002","24 - 35 months",1,430,518.06,2022,"Q4","MMR",""
"East Village/Gramercy/Greenwich Village",10003,98,"10003","24 - 35 months",1,221,224.39,2022,"Q4","MMR",""
"Financial District",10004,99,"10004","24 - 35 months",1,50,32.17,2022,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",1,62,52.42,2022,"Q4","MMR",""
"Financial District",10006,99,"10006","24 - 35 months",1,36,24.45,2022,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",1,133,116.2,2022,"Q4","MMR",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,89,"10009","24 - 35 months",1,287,323.9,2022,"Q4","MMR",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",1,227,177.17,2022,"Q4","MMR",""
"Chelsea",10011,99,"10011","24 - 35 months",1,302,287.82,2022,"Q4","MMR",""
"Greenwich Village/SoHo",10012,88,"10012","24 - 35 months",1,109,123.94,2022,"Q4","MMR",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",1,255,248.57,2022,"Q4","MMR",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",1,152,153.37,2022,"Q4","MMR",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",1,350,312.09,2022,"Q4","MMR",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",1,102,82.83,2022,"Q4","MMR",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",1,53,43.28,2022,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",1,316,260.18,2022,"Q4","MMR",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",1,400,321.59,2022,"Q4","MMR",""
"East Midtown",10022,99,"10022","24 - 35 months",1,271,220.8,2022,"Q4","MMR",""
"Lincoln Square",10023,90,"10023","24 - 35 months",1,562,626.86,2022,"Q4","MMR",""
