"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",215,104.1,2024,"Q4","MMR",""
"Chinatown/Lower East Side",10002,82,"10002","24 - 35 months",394,479.54,2024,"Q4","MMR",""
"East Village/Gramercy/Greenwich Village",10003,94,"10003","24 - 35 months",201,214.48,2024,"Q4","MMR",""
"Financial District",10004,99,"10004","24 - 35 months",50,36.15,2024,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",88,47.51,2024,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",49,20.25,2024,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",114,103.37,2024,"Q4","MMR",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,99,"10009","24 - 35 months",308,306.78,2024,"Q4","MMR",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",225,171.38,2024,"Q4","MMR",""
"Chelsea",10011,80,"10011","24 - 35 months",228,284.31,2024,"Q4","MMR",""
"Greenwich Village/SoHo",10012,90,"10012","24 - 35 months",102,113.85,2024,"Q4","MMR",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",248,247.54,2024,"Q4","MMR",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",148,147.55,2024,"Q4","MMR",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",342,299.62,2024,"Q4","MMR",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",362,74.86,2024,"Q4","MMR",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",60,39.98,2024,"Q4","MMR","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",389,235.96,2024,"Q4","MMR",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",394,315.32,2024,"Q4","MMR",""
"East Midtown",10022,99,"10022","24 - 35 months",268,198.48,2024,"Q4","MMR",""
"Lincoln Square",10023,93,"10023","24 - 35 months",529,569.32,2024,"Q4","MMR",""
"Upper West Side",10024,93,"10024","24 - 35 months",507,545.26,2024,"Q4","MMR",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,98,"10025","24 - 35 months",657,672.95,2024,"Q4","MMR",""
"Central Harlem (South)",10026,73,"10026","24 - 35 months",279,382.16,2024,"Q4","MMR",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,81,"10027","24 - 35 months",451,558.21,2024,"Q4","MMR",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",360,318.16,2024,"Q4","MMR",""
"East Harlem",10029,99,"10029","24 - 35 months",709,700.4,2024,"Q4","MMR",""
"Central Harlem (North)",10030,67,"10030","24 - 35 months",229,341.63,2024,"Q4","MMR",""
"Hamilton Heights/West Harlem",10031,84,"10031","24 - 35 months",407,485.02,2024,"Q4","MMR",""
