"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",161,132.65,2020,"Q2","PCV",""
"Chinatown/Lower East Side",10002,81,"10002","24 - 35 months",498,613.95,2020,"Q2","PCV",""
"East Village/Gramercy/Greenwich Village",10003,72,"10003","24 - 35 months",205,282.78,2020,"Q2","PCV",""
"Financial District",10004,91,"10004","24 - 35 months",44,48.44,2020,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",84,63.23,2020,"Q2","PCV",""
"Financial District",10006,99,"10006","24 - 35 months",46,27.06,2020,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,88,"10007","24 - 35 months",121,138.02,2020,"Q2","PCV",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,86,"10009","24 - 35 months",329,380.97,2020,"Q2","PCV",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",250,222.4,2020,"Q2","PCV",""
"Chelsea",10011,71,"10011","24 - 35 months",263,368.1,2020,"Q2","PCV",""
"Greenwich Village/SoHo",10012,66,"10012","24 - 35 months",100,150.75,2020,"Q2","PCV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,88,"10013","24 - 35 months",290,330.71,2020,"Q2","PCV",""
"Hudson Square/Meatpacking District/West Village",10014,65,"10014","24 - 35 months",125,193.5,2020,"Q2","PCV",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",402,391.05,2020,"Q2","PCV",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",109,100.06,2020,"Q2","PCV",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",52,51.97,2020,"Q2","PCV",""
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",316,308.46,2020,"Q2","PCV",""
"Lenox Hill/Upper East Side",10021,83,"10021","24 - 35 months",352,422.49,2020,"Q2","PCV",""
"East Midtown",10022,88,"10022","24 - 35 months",233,263.74,2020,"Q2","PCV",""
"Lincoln Square",10023,78,"10023","24 - 35 months",590,755.16,2020,"Q2","PCV",""
"Upper West Side",10024,71,"10024","24 - 35 months",507,714.53,2020,"Q2","PCV",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,79,"10025","24 - 35 months",674,858.4,2020,"Q2","PCV",""
"Central Harlem (South)",10026,61,"10026","24 - 35 months",273,450.62,2020,"Q2","PCV",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,66,"10027","24 - 35 months",436,658.66,2020,"Q2","PCV",""
"Upper East Side/Yorkville",10028,90,"10028","24 - 35 months",382,423.51,2020,"Q2","PCV",""
"East Harlem",10029,76,"10029","24 - 35 months",624,815.75,2020,"Q2","PCV",""
"Central Harlem (North)",10030,60,"10030","24 - 35 months",233,387.55,2020,"Q2","PCV",""
"Hamilton Heights/West Harlem",10031,84,"10031","24 - 35 months",467,555.56,2020,"Q2","PCV",""
"Washington Heights (South)",10032,69,"10032","24 - 35 months",380,551.29,2020,"Q2","PCV",""
"Washington Heights (North)/Washington Heights (South)",10033,85,"10033","24 - 35 months",500,590.74,2020,"Q2","PCV",""
"Inwood/Washington Heights (North)",10034,85,"10034","24 - 35 months",346,405.87,2020,"Q2","PCV",""
"East Harlem",10035,76,"10035","24 - 35 months",308,406.17,2020,"Q2","PCV",""
"Hell's Kitchen/Midtown Manhattan",10036,74,"10036","24 - 35 months",144,193.73,2020,"Q2","PCV",""
"Central Harlem (North)/East Harlem",10037,74,"10037","24 - 35 months",140,189.85,2020,"Q2","PCV",""
"Chinatown/Financial District",10038,91,"10038","24 - 35 months",154,169.97,2020,"Q2","PCV",""
"Central Harlem (North)/Washington Heights (South)",10039,65,"10039","24 - 35 months",238,364.04,2020,"Q2","PCV",""
"Washington Heights (North)",10040,88,"10040","24 - 35 months",377,427.06,2020,"Q2","PCV",""
"Roosevelt Island",10044,89,"10044","24 - 35 months",117,130.86,2020,"Q2","PCV",""
"Lenox Hill/Upper East Side",10065,96,"10065","24 - 35 months",309,322.04,2020,"Q2","PCV",""
"Lincoln Square",10069,99,"10069","24 - 35 months",112,74.4,2020,"Q2","PCV",""
"Lenox Hill/Upper East Side",10075,96,"10075, 10162","24 - 35 months",232,242.36,2020,"Q2","PCV",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",552,549.88,2020,"Q2","PCV",""
"Battery Park City",10280,60,"10280","24 - 35 months",109,180.82,2020,"Q2","PCV",""
"Battery Park City",10282,90,"10282","24 - 35 months",151,168.04,2020,"Q2","PCV",""
"Silver Lake/St. George",10301,70,"10301","24 - 35 months",296,421.29,2020,"Q2","PCV",""
"Elm Park",10302,71,"10302","24 - 35 months",178,251.56,2020,"Q2","PCV",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,57,"10303","24 - 35 months",206,364.04,2020,"Q2","PCV",""
"New Dorp/Todt Hill",10304,59,"10304","24 - 35 months",296,499.79,2020,"Q2","PCV",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,54,"10305","24 - 35 months",247,456.52,2020,"Q2","PCV",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,45,"10306","24 - 35 months",268,590.86,2020,"Q2","PCV",""
"Tottenville",10307,40,"10307","24 - 35 months",60,150.84,2020,"Q2","PCV",""
"Great Kills",10308,45,"10308","24 - 35 months",140,308.71,2020,"Q2","PCV",""
"Charleston/Prince's Bay/Woodrow",10309,41,"10309","24 - 35 months",154,375.54,2020,"Q2","PCV",""
"Port Richmond/Randall Manor/West Brighton",10310,60,"10310","24 - 35 months",198,328.93,2020,"Q2","PCV",""
"Annadale/Rossville",10312,45,"10312","24 - 35 months",288,638.2,2020,"Q2","PCV",""
"Bloomfield/Freshkills Park",10314,53,"10314","24 - 35 months",537,1006.75,2020,"Q2","PCV",""
"Concourse/Melrose",10451,76,"10451","24 - 35 months",531,697.11,2020,"Q2","PCV",""
"Concourse/Highbridge",10452,76,"10452","24 - 35 months",917,1203.94,2020,"Q2","PCV",""
"Morris Heights/Mount Hope/University Heights",10453,82,"10453","24 - 35 months",987,1209.87,2020,"Q2","PCV",""
"Mott Haven/Port Morris",10454,77,"10454","24 - 35 months",462,603.33,2020,"Q2","PCV",""
"Mott Haven",10455,79,"10455","24 - 35 months",492,619.33,2020,"Q2","PCV",""
