"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",4,122,116.61,2023,"Q2","PCV",""
"Chinatown/Lower East Side",10002,61,"10002","24 - 35 months",4,303,499.86,2023,"Q2","PCV",""
"East Village/Gramercy/Greenwich Village",10003,89,"10003","24 - 35 months",4,193,215.86,2023,"Q2","PCV",""
"Financial District",10004,84,"10004","24 - 35 months",4,26,30.84,2023,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,80,"10005","24 - 35 months",4,40,50.07,2023,"Q2","PCV",""
"Financial District",10006,99,"10006","24 - 35 months",4,42,23.48,2023,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,70,"10007","24 - 35 months",4,79,112.08,2023,"Q2","PCV",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,64,"10009","24 - 35 months",4,203,318.16,2023,"Q2","PCV",""
"Flatiron/Gramercy/Kips Bay",10010,98,"10010","24 - 35 months",4,168,171.28,2023,"Q2","PCV",""
"Chelsea",10011,84,"10011","24 - 35 months",4,234,279.64,2023,"Q2","PCV",""
"Greenwich Village/SoHo",10012,72,"10012","24 - 35 months",4,86,119.57,2023,"Q2","PCV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",4,234,237.53,2023,"Q2","PCV",""
"Hudson Square/Meatpacking District/West Village",10014,86,"10014","24 - 35 months",4,128,148.88,2023,"Q2","PCV",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",4,304,299.54,2023,"Q2","PCV",""
"East Midtown/Murray Hill",10017,93,"10017","24 - 35 months",4,74,79.25,2023,"Q2","PCV",""
"Hell's Kitchen/Midtown Manhattan",10018,77,"10018","24 - 35 months",4,32,41.79,2023,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",4,283,251.18,2023,"Q2","PCV",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",4,346,310.01,2023,"Q2","PCV",""
"East Midtown",10022,96,"10022","24 - 35 months",4,205,212.64,2023,"Q2","PCV",""
"Lincoln Square",10023,83,"10023","24 - 35 months",4,499,601.9,2023,"Q2","PCV",""
"Upper West Side",10024,76,"10024","24 - 35 months",4,418,548.5,2023,"Q2","PCV",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,78,"10025","24 - 35 months",4,517,666.23,2023,"Q2","PCV",""
"Central Harlem (South)",10026,56,"10026","24 - 35 months",4,214,385.28,2023,"Q2","PCV",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,57,"10027","24 - 35 months",4,329,573.92,2023,"Q2","PCV",""
"Upper East Side/Yorkville",10028,85,"10028","24 - 35 months",4,273,320.07,2023,"Q2","PCV",""
"East Harlem",10029,69,"10029","24 - 35 months",4,512,744.67,2023,"Q2","PCV",""
"Central Harlem (North)",10030,55,"10030","24 - 35 months",4,195,353.8,2023,"Q2","PCV",""
"Hamilton Heights/West Harlem",10031,70,"10031","24 - 35 months",4,363,515.75,2023,"Q2","PCV",""
"Washington Heights (South)",10032,68,"10032","24 - 35 months",4,324,478.41,2023,"Q2","PCV",""
"Washington Heights (North)/Washington Heights (South)",10033,79,"10033","24 - 35 months",4,394,500.25,2023,"Q2","PCV",""
"Inwood/Washington Heights (North)",10034,70,"10034","24 - 35 months",4,253,360.92,2023,"Q2","PCV",""
"East Harlem",10035,61,"10035","24 - 35 months",4,232,382.2,2023,"Q2","PCV",""
"Hell's Kitchen/Midtown Manhattan",10036,73,"10036","24 - 35 months",4,115,156.69,2023,"Q2","PCV",""
"Central Harlem (North)/East Harlem",10037,91,"10037","24 - 35 months",4,153,168.37,2023,"Q2","PCV",""
"Chinatown/Financial District",10038,85,"10038","24 - 35 months",4,118,138.69,2023,"Q2","PCV",""
"Central Harlem (North)/Washington Heights (South)",10039,55,"10039","24 - 35 months",4,193,350.61,2023,"Q2","PCV",""
"Washington Heights (North)",10040,75,"10040","24 - 35 months",4,288,384.63,2023,"Q2","PCV",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",4,102,99.98,2023,"Q2","PCV",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",4,257,248.21,2023,"Q2","PCV",""
"Lincoln Square",10069,99,"10069","24 - 35 months",4,91,62.75,2023,"Q2","PCV",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",4,193,180.71,2023,"Q2","PCV",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",4,458,446.43,2023,"Q2","PCV",""
"Battery Park City",10280,44,"10280","24 - 35 months",4,60,136.51,2023,"Q2","PCV",""
"Battery Park City",10282,60,"10282","24 - 35 months",4,71,117.57,2023,"Q2","PCV",""
"Silver Lake/St. George",10301,69,"10301","24 - 35 months",4,268,390.22,2023,"Q2","PCV",""
"Elm Park",10302,61,"10302","24 - 35 months",4,147,242.71,2023,"Q2","PCV",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,61,"10303","24 - 35 months",4,195,319.18,2023,"Q2","PCV",""
"New Dorp/Todt Hill",10304,54,"10304","24 - 35 months",4,258,475.51,2023,"Q2","PCV",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,58,"10305","24 - 35 months",4,244,419.21,2023,"Q2","PCV",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,50,"10306","24 - 35 months",4,276,556.56,2023,"Q2","PCV",""
"Tottenville",10307,48,"10307","24 - 35 months",4,68,142.14,2023,"Q2","PCV",""
"Great Kills",10308,50,"10308","24 - 35 months",4,141,284.31,2023,"Q2","PCV",""
"Charleston/Prince's Bay/Woodrow",10309,44,"10309","24 - 35 months",4,155,351.87,2023,"Q2","PCV",""
"Port Richmond/Randall Manor/West Brighton",10310,56,"10310","24 - 35 months",4,168,297.91,2023,"Q2","PCV",""
"Annadale/Rossville",10312,56,"10312","24 - 35 months",4,331,591.85,2023,"Q2","PCV",""
"Bloomfield/Freshkills Park",10314,54,"10314","24 - 35 months",4,495,921.1,2023,"Q2","PCV",""
"Concourse/Melrose",10451,79,"10451","24 - 35 months",4,453,574.89,2023,"Q2","PCV",""
"Concourse/Highbridge",10452,70,"10452","24 - 35 months",4,727,1038.19,2023,"Q2","PCV",""
"Morris Heights/Mount Hope/University Heights",10453,76,"10453","24 - 35 months",4,793,1046.38,2023,"Q2","PCV",""
"Mott Haven/Port Morris",10454,66,"10454","24 - 35 months",4,345,523.41,2023,"Q2","PCV",""
"Mott Haven",10455,81,"10455","24 - 35 months",4,439,538.74,2023,"Q2","PCV",""
"Claremont/Morrisania",10456,78,"10456","24 - 35 months",4,909,1161.97,2023,"Q2","PCV",""
"Belmont/Claremont/Mount Hope/Tremont",10457,73,"10457","24 - 35 months",4,805,1097.79,2023,"Q2","PCV",""
"Belmont/Fordham University/Kingsbridge",10458,71,"10458","24 - 35 months",4,725,1026.45,2023,"Q2","PCV",""
"Charlotte Gardens/Hunts Point",10459,66,"10459","24 - 35 months",4,456,692.89,2023,"Q2","PCV",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,73,"10460","24 - 35 months",4,591,806.77,2023,"Q2","PCV",""
"Morris Park/Pelham Bay/Westchester Square",10461,78,"10461","24 - 35 months",4,440,562,2023,"Q2","PCV",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,86,"10462","24 - 35 months",4,763,882.64,2023,"Q2","PCV",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,77,"10463","24 - 35 months",4,581,752.13,2023,"Q2","PCV",""
"City Island",10464,99,"10464","24 - 35 months",4,93,32.26,2023,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Country Club/Throgs Neck",10465,63,"10465","24 - 35 months",4,299,473.66,2023,"Q2","PCV",""
"Edenwald/Wakefield",10466,63,"10466","24 - 35 months",4,498,785.2,2023,"Q2","PCV",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,76,"10467","24 - 35 months",4,898,1174.72,2023,"Q2","PCV",""
"Fordham/Kingsbridge/University Heights",10468,65,"10468","24 - 35 months",4,671,1026.67,2023,"Q2","PCV",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,68,"10469","24 - 35 months",4,499,732.81,2023,"Q2","PCV",""
"Wakefield/Woodlawn",10470,94,"10470","24 - 35 months",4,163,173.08,2023,"Q2","PCV",""
"Fieldston/North Riverdale/Riverdale",10471,68,"10471","24 - 35 months",4,155,229.08,2023,"Q2","PCV",""
"Soundview",10472,99,"10472","24 - 35 months",4,782,788.28,2023,"Q2","PCV",""
"Castle Hill/Clason Point/Soundview",10473,79,"10473","24 - 35 months",4,440,556.04,2023,"Q2","PCV",""
"Hunts Point",10474,68,"10474","24 - 35 months",4,105,153.47,2023,"Q2","PCV",""
"Co-op City/Edenwald",10475,70,"10475","24 - 35 months",4,205,292.04,2023,"Q2","PCV",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","24 - 35 months",4,206,149.83,2023,"Q2","PCV",""
"Astoria (South)/Long Island City/Sunnyside",11101,96,"11101","24 - 35 months",4,357,370.09,2023,"Q2","PCV",""
"Astoria (North)",11102,99,"11102","24 - 35 months",4,244,227.32,2023,"Q2","PCV",""
"Astoria (North)/Astoria (South)",11103,70,"11103","24 - 35 months",4,189,270.71,2023,"Q2","PCV",""
"Sunnyside",11104,75,"11104","24 - 35 months",4,181,242.77,2023,"Q2","PCV",""
"Ditmars Steinway",11105,84,"11105","24 - 35 months",4,248,295.64,2023,"Q2","PCV",""
"Astoria (South)",11106,63,"11106","24 - 35 months",4,205,327.49,2023,"Q2","PCV",""
"Long Island City",11109,99,"11109","24 - 35 months",4,93,71.55,2023,"Q2","PCV",""
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,86,"11201","24 - 35 months",4,644,750.39,2023,"Q2","PCV",""
"East Flatbush (North)/East Flatbush (South)",11203,71,"11203","24 - 35 months",4,472,667.83,2023,"Q2","PCV",""
"Bensonhurst/Mapleton",11204,49,"11204","24 - 35 months",4,547,1111.41,2023,"Q2","PCV",""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,24,"11205","24 - 35 months",4,239,984.78,2023,"Q2","PCV",""
"Williamsburg (South)",11206,25,"11206","24 - 35 months",4,354,1430.98,2023,"Q2","PCV",""
"Cypress Hills/East New York",11207,62,"11207","24 - 35 months",4,684,1106.85,2023,"Q2","PCV",""
"Cypress Hills/East New York",11208,69,"11208","24 - 35 months",4,850,1235.74,2023,"Q2","PCV",""
"Bay Ridge/Fort Hamilton",11209,53,"11209","24 - 35 months",4,369,700.61,2023,"Q2","PCV",""
