"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",170,104.1,2025,"Q2","PCV",""
"Chinatown/Lower East Side",10002,63,"10002","24 - 35 months",303,479.54,2025,"Q2","PCV",""
"East Village/Gramercy/Greenwich Village",10003,84,"10003","24 - 35 months",181,214.48,2025,"Q2","PCV",""
"Financial District",10004,99,"10004","24 - 35 months",39,36.15,2025,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",61,47.51,2025,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",38,20.25,2025,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,88,"10007","24 - 35 months",91,103.37,2025,"Q2","PCV",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,72,"10009","24 - 35 months",221,306.78,2025,"Q2","PCV",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",195,171.38,2025,"Q2","PCV",""
"Chelsea",10011,81,"10011","24 - 35 months",229,284.31,2025,"Q2","PCV",""
"Greenwich Village/SoHo",10012,80,"10012","24 - 35 months",91,113.85,2025,"Q2","PCV",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,78,"10013","24 - 35 months",193,247.54,2025,"Q2","PCV",""
"Hudson Square/Meatpacking District/West Village",10014,88,"10014","24 - 35 months",130,147.55,2025,"Q2","PCV",""
"Kips Bay/Murray Hill/NoMad",10016,88,"10016","24 - 35 months",264,299.62,2025,"Q2","PCV",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",88,74.86,2025,"Q2","PCV",""
"Hell's Kitchen/Midtown Manhattan",10018,95,"10018","24 - 35 months",38,39.98,2025,"Q2","PCV","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",251,235.96,2025,"Q2","PCV",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",321,315.32,2025,"Q2","PCV",""
"East Midtown",10022,99,"10022","24 - 35 months",198,198.48,2025,"Q2","PCV",""
"Lincoln Square",10023,75,"10023","24 - 35 months",427,569.32,2025,"Q2","PCV",""
"Upper West Side",10024,81,"10024","24 - 35 months",443,545.26,2025,"Q2","PCV",""
