"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",3,228,115.7,2024,"Q2","Polio",""
"Chinatown/Lower East Side",10002,79,"10002","24 - 35 months",3,387,491.86,2024,"Q2","Polio",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",3,241,214.44,2024,"Q2","Polio",""
"Financial District",10004,99,"10004","24 - 35 months",3,57,30.46,2024,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",3,92,49.62,2024,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",3,44,23.33,2024,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",3,122,111.64,2024,"Q2","Polio",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,97,"10009","24 - 35 months",3,308,317.15,2024,"Q2","Polio",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",3,232,169.73,2024,"Q2","Polio",""
"Chelsea",10011,99,"10011","24 - 35 months",3,281,278.7,2024,"Q2","Polio",""
"Greenwich Village/SoHo",10012,99,"10012","24 - 35 months",3,129,118.55,2024,"Q2","Polio",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",3,289,235.44,2024,"Q2","Polio",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",3,166,148.51,2024,"Q2","Polio",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",3,398,295.89,2024,"Q2","Polio",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",3,178,78.48,2024,"Q2","Polio",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",3,57,41.27,2024,"Q2","Polio","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",3,386,249.17,2024,"Q2","Polio",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",3,428,308.41,2024,"Q2","Polio",""
"East Midtown",10022,99,"10022","24 - 35 months",3,271,211.42,2024,"Q2","Polio",""
"Lincoln Square",10023,99,"10023","24 - 35 months",3,601,595.97,2024,"Q2","Polio",""
