"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",1,220,116.61,2023,"Q4","Varicella",""
"Chinatown/Lower East Side",10002,72,"10002","24 - 35 months",1,358,499.86,2023,"Q4","Varicella",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",1,257,215.86,2023,"Q4","Varicella",""
"Financial District",10004,99,"10004","24 - 35 months",1,39,30.84,2023,"Q4","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",1,80,50.07,2023,"Q4","Varicella",""
"Financial District",10006,99,"10006","24 - 35 months",1,54,23.48,2023,"Q4","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",1,111,112.08,2023,"Q4","Varicella",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,91,"10009","24 - 35 months",1,288,318.16,2023,"Q4","Varicella",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",1,223,171.28,2023,"Q4","Varicella",""
"Chelsea",10011,99,"10011","24 - 35 months",1,297,279.64,2023,"Q4","Varicella",""
"Greenwich Village/SoHo",10012,93,"10012","24 - 35 months",1,111,119.57,2023,"Q4","Varicella",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",1,308,237.53,2023,"Q4","Varicella",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",1,172,148.88,2023,"Q4","Varicella",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",1,367,299.54,2023,"Q4","Varicella",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",1,183,79.25,2023,"Q4","Varicella",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",1,61,41.79,2023,"Q4","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",1,362,251.18,2023,"Q4","Varicella",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",1,404,310.01,2023,"Q4","Varicella",""
"East Midtown",10022,99,"10022","24 - 35 months",1,246,212.64,2023,"Q4","Varicella",""
"Lincoln Square",10023,96,"10023","24 - 35 months",1,579,601.9,2023,"Q4","Varicella",""
"Upper West Side",10024,97,"10024","24 - 35 months",1,531,548.5,2023,"Q4","Varicella",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,96,"10025","24 - 35 months",1,639,666.23,2023,"Q4","Varicella",""
"Central Harlem (South)",10026,81,"10026","24 - 35 months",1,312,385.28,2023,"Q4","Varicella",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,81,"10027","24 - 35 months",1,467,573.92,2023,"Q4","Varicella",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",1,346,320.07,2023,"Q4","Varicella",""
"East Harlem",10029,97,"10029","24 - 35 months",1,721,744.67,2023,"Q4","Varicella",""
"Central Harlem (North)",10030,66,"10030","24 - 35 months",1,235,353.8,2023,"Q4","Varicella",""
"Hamilton Heights/West Harlem",10031,88,"10031","24 - 35 months",1,456,515.75,2023,"Q4","Varicella",""
"Washington Heights (South)",10032,92,"10032","24 - 35 months",1,438,478.41,2023,"Q4","Varicella",""
"Washington Heights (North)/Washington Heights (South)",10033,92,"10033","24 - 35 months",1,458,500.25,2023,"Q4","Varicella",""
"Inwood/Washington Heights (North)",10034,92,"10034","24 - 35 months",1,332,360.92,2023,"Q4","Varicella",""
"East Harlem",10035,74,"10035","24 - 35 months",1,282,382.2,2023,"Q4","Varicella",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",1,294,156.69,2023,"Q4","Varicella",""
"Central Harlem (North)/East Harlem",10037,99,"10037","24 - 35 months",1,229,168.37,2023,"Q4","Varicella",""
"Chinatown/Financial District",10038,99,"10038","24 - 35 months",1,143,138.69,2023,"Q4","Varicella",""
"Central Harlem (North)/Washington Heights (South)",10039,74,"10039","24 - 35 months",1,258,350.61,2023,"Q4","Varicella",""
"Washington Heights (North)",10040,93,"10040","24 - 35 months",1,356,384.63,2023,"Q4","Varicella",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",1,133,99.98,2023,"Q4","Varicella",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",1,378,248.21,2023,"Q4","Varicella",""
"Lincoln Square",10069,99,"10069","24 - 35 months",1,108,62.75,2023,"Q4","Varicella",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",1,245,180.71,2023,"Q4","Varicella",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",1,517,446.43,2023,"Q4","Varicella",""
"Battery Park City",10280,67,"10280","24 - 35 months",1,92,136.51,2023,"Q4","Varicella",""
"Battery Park City",10282,85,"10282","24 - 35 months",1,100,117.57,2023,"Q4","Varicella",""
"Silver Lake/St. George",10301,99,"10301","24 - 35 months",1,401,390.22,2023,"Q4","Varicella",""
"Elm Park",10302,77,"10302","24 - 35 months",1,187,242.71,2023,"Q4","Varicella",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,81,"10303","24 - 35 months",1,259,319.18,2023,"Q4","Varicella",""
"New Dorp/Todt Hill",10304,76,"10304","24 - 35 months",1,363,475.51,2023,"Q4","Varicella",""
