"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Chelsea/NoMad/West Chelsea",10001,99,"10001, 10118","24 - 35 months",227,104.1,2024,"Q2","Varicella",""
"Chinatown/Lower East Side",10002,76,"10002","24 - 35 months",366,479.54,2024,"Q2","Varicella",""
"East Village/Gramercy/Greenwich Village",10003,99,"10003","24 - 35 months",233,214.48,2024,"Q2","Varicella",""
"Financial District",10004,99,"10004","24 - 35 months",51,36.15,2024,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10005,99,"10005","24 - 35 months",88,47.51,2024,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Financial District",10006,99,"10006","24 - 35 months",41,20.25,2024,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"TriBeCa",10007,99,"10007","24 - 35 months",111,103.37,2024,"Q2","Varicella",""
"Alphabet City/East Village/Stuyvesant Town-Cooper Village",10009,96,"10009","24 - 35 months",296,306.78,2024,"Q2","Varicella",""
"Flatiron/Gramercy/Kips Bay",10010,99,"10010","24 - 35 months",221,171.38,2024,"Q2","Varicella",""
"Chelsea",10011,88,"10011","24 - 35 months",250,284.31,2024,"Q2","Varicella",""
"Greenwich Village/SoHo",10012,99,"10012","24 - 35 months",118,113.85,2024,"Q2","Varicella",""
"Hudson Square/Little Italy/SoHo/TriBeCa",10013,99,"10013","24 - 35 months",273,247.54,2024,"Q2","Varicella",""
"Hudson Square/Meatpacking District/West Village",10014,99,"10014","24 - 35 months",159,147.55,2024,"Q2","Varicella",""
"Kips Bay/Murray Hill/NoMad",10016,99,"10016","24 - 35 months",367,299.62,2024,"Q2","Varicella",""
"East Midtown/Murray Hill",10017,99,"10017","24 - 35 months",282,74.86,2024,"Q2","Varicella",""
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",55,39.98,2024,"Q2","Varicella","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",378,235.96,2024,"Q2","Varicella",""
